Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
17,2,paul,sundar,6,6,Short,,,Long-on,,,,Bowled
17,1,paul,sundar,â€¢,0,Yorker,,,Point,,,,Catch
16,6,brathwaite,jadeja,â€¢,0,Full,,,,,,,
16,5,brathwaite,sundar,1,1,,,,Third-man,Outside-edge,,,Stop
16,4,brathwaite,sundar,â€¢,0,Yorker,,,,,,,
16,3,brathwaite,jadeja,1,1,,Leg-stump,,Deep-square,,,,
16,2,brathwaite,sundar,1,1,,,,Point,,,Slower,
16,1,brathwaite,jadeja,1,1,Length,Leg-stump,,Fine-leg,,,Slower,
15,6,paul,krunal,W,0,Full,Outside-off,,Midwicket,,,,Bowled
15,5,paul,krunal,â€¢,0,,,Pull,Short-fine-leg,,,,
15,4,paul,jadeja,1,1,Full,Outside-off,,Third-man,,,,
15,3,paul,jadeja,â€¢,0,Short,,Pull,Midwicket,,,,
15,2,paul,krunal,1,1,Full,,,Deep-cover,,,Slower,
15,1,paul,jadeja,1,1,Full,Outside-off,,Long-off,,,,
14,6,thomas,krunal,â€¢,0,Length,,Drive,,Inside-edge,,,
14,5,thomas,krunal,4,4,Full,,Pull-shot,Deep-mid-wicket,,,Pace,
14,4,thomas,jadeja,1,1,,,,Fine-leg,,,,
14,3,thomas,krunal,3,3,Length,,Pull,Midwicket,,,Slow,
14,2,thomas,jadeja,3,3,Full,,,Deep-cover,,,,Misfield
14,1,thomas,krunal,1,1,Short,,,Third-man,Outside-edge,,,
13,6,cottrell,jadeja,2,2,,,Cut,Point,,,,
13,6,cottrell,jadeja,2,2,Yorker,,Cut,Point,,,,
13,6,cottrell,jadeja,2,2,,,Cut,Point,,,,
13,6,cottrell,jadeja,1w,1,Full,,,Backward-point,,,,
13,6,cottrell,jadeja,1w,1,Full,,,Leg-side,,,,
13,6,cottrell,jadeja,1w,1,Full,,,Leg-side,,,,
13,6,cottrell,jadeja,1w,1,,,,Slip,,,,
13,6,cottrell,jadeja,1w,1,Yorker,,,Slip,,,,
13,6,cottrell,jadeja,1w,1,,,,Slip,,,,
13,5,cottrell,kohli,W,0,,Outside-off,Pull,Midwicket,,,Pace,
13,4,cottrell,krunal,1,1,Yorker,,,Mid-on,,,,
13,3,cottrell,krunal,â€¢,0,Length,,,Off-side,,,Slower,
13,2,cottrell,krunal,â€¢,0,,,,,,,,
13,1,cottrell,krunal,â€¢,0,Short,Leg-stump,,,,,,
12,6,narine,krunal,1,1,,,,Long-off,,,,
12,5,narine,krunal,â€¢,0,,,,Short-fine-leg,,,,
12,4,narine,kohli,1,1,,,,Long-on,,,,
12,3,narine,kohli,â€¢,0,,,Drive,Cover,,,,
12,2,narine,kohli,â€¢,0,,,,Cover,,,,
12,1,narine,kohli,â€¢,0,Short,Leg-stump,,Midwicket,,,,
11,6,paul,kohli,1,1,Full,Outside-off,,Long-on,,,,
11,5,paul,krunal,1,1,Short,,Pull,Square-leg,,,Pace,
11,4,paul,pandey,W,0,Full,Outside-off,,,,,Pace,Bowled
11,3,paul,pandey,2,2,,Outside-off,,Cover,,,Slower,
11,2,paul,kohli,1,1,Full,,,Long-on,,,Slower,
11,1,paul,pandey,1,1,Full,Leg-stump,,Midwicket,,,,
10,6,brathwaite,kohli,â€¢,0,Short,,,Cover,,,,
10,5,brathwaite,pandey,1,1,,Leg-stump,,Long-on,,,Slower,
10,4,brathwaite,kohli,1,1,,,,,,,Slower,Direct-hit
10,3,brathwaite,pandey,1,1,,Outside-off,,Deep-point,,,,
10,2,brathwaite,kohli,1,1,Full,,,Long-on,,,,
10,1,brathwaite,kohli,4,4,Length,,,Point,,,,
9,6,thomas,kohli,1,1,,,,Third-man,,,,
9,5,thomas,kohli,â€¢,0,Length,,,,,,,
9,4,thomas,pandey,1,1,,,,Third-man,,,Slower,
9,3,thomas,kohli,1,1,,,,Deep-square,,,,
9,2,thomas,pandey,1,1,,,,Third-man,,,,
9,1,thomas,pandey,4,4,,Outside-off,Drive,Mid-off,,,,
8,6,narine,kohli,2,2,Good,Outside-off,Cut,Deep-point,,,,Throw
8,5,narine,kohli,â€¢,0,Length,Outside-off,Drive,Point,,,Pace,
8,4,narine,kohli,â€¢,0,Short,,,Midwicket,,,,Stop
8,3,narine,kohli,â€¢,0,,,,Midwicket,,,,
8,2,narine,kohli,â€¢,0,Short,Outside-off,,Midwicket,,,Spin,
8,1,narine,pandey,1,1,,,,Long-on,,,,
7,6,paul,pandey,1,1,,,,Third-man,,,,
7,5,paul,kohli,1,1,Full,,Drive,Long-on,,,,
7,4,paul,kohli,â€¢,0,Length,,,Midwicket,,,,
7,4,paul,kohli,â€¢,0,Length,,,Midwicket,,,Slower,Bowled
7,4,paul,kohli,1w,1,Length,,,,,,Slower,
7,4,paul,kohli,1w,1,,,,,,,Slower,Bowled
7,3,paul,pandey,1,1,Length,,,Third-man,,,Pace,
7,2,paul,pandey,â€¢,0,,,,Midwicket,,,,
7,1,paul,pandey,4,4,,,,Mid-off,,,,
6,6,narine,kohli,â€¢,0,,,,Leg-side,,,,
6,5,narine,pandey,1,1,,,,Mid-on,,,,
6,4,narine,pant,W,0,Good,Outside-off,Sweep,Deep-square,Top-edge,,,Catch
6,3,narine,rohit sharma,W,0,Length,,,Long-on,,,,Catch
6,2,narine,rohit sharma,â€¢,0,Short,Outside-off,,Point,,,,
6,1,narine,kohli,1,1,,,,Midwicket,,,,
5,6,cottrell,rohit sharma,â€¢,0,Length,,,Mid-off,,,Slower,
5,5,cottrell,rohit sharma,â€¢,0,Length,,,,,,Slower,
5,4,cottrell,rohit sharma,6,6,Full,,Cover-drive,Cover,,,,
5,3,cottrell,rohit sharma,â€¢,0,Length,,,Point,,,Pace,
5,2,cottrell,rohit sharma,4,4,Length,,,Long-on,,,,
5,1,cottrell,kohli,1,1,Full,Middle-stump,,Deep-square,Inside-edge,,,
4,6,narine,kohli,1,1,Short,,,Long-on,,,,
4,5,narine,rohit sharma,1,1,Short,,,Long-on,,,Spin,
4,4,narine,rohit sharma,â€¢,0,Length,Leg-stump,,Midwicket,,,,
4,3,narine,rohit sharma,â€¢,0,Length,Middle-stump,Sweep,,,,,
4,2,narine,rohit sharma,4,4,Short,Outside-off,,Point,,,,
4,1,narine,kohli,1,1,Full,Outside-off,,Long-on,,,,
3,6,cottrell,rohit sharma,â€¢,0,Yorker,,,Point,,,,
3,5,cottrell,rohit sharma,â€¢,0,Length,Outside-off,,Extra-cover,,,,
3,4,cottrell,kohli,1,1,Full,,,Deep-point,,,,
3,3,cottrell,rohit sharma,1,1,Yorker,,,Third-man,,,,
3,2,cottrell,rohit sharma,â€¢,0,Full,Outside-off,,,,,,
