Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,lahiru kumara,pandey,2,2,Good,,,,,,,
19,5,lahiru kumara,pandey,4,4,Short,,Pull,Midwicket,,,,
19,4,lahiru kumara,thakur,1,1,Full,,,Mid-off,,,,
19,3,lahiru kumara,thakur,4,4,Length,Outside-off,,Extra-cover,,,,
19,2,lahiru kumara,thakur,6,6,Length,,,,Mishit,,Pace,
19,1,lahiru kumara,thakur,2,2,Full,,,Long-on,,,Slower,
18,6,malinga,thakur,1,1,Yorker,,,Midwicket,,,Slower,Bowled
18,5,malinga,pandey,1,1,Length,,,Long-off,,,,
18,4,malinga,pandey,4,4,,Outside-off,Cut,Backward-point,,,,
18,3,malinga,pandey,2,2,Full,,,Long-on,,,,Stop
18,2,malinga,thakur,1,1,Good,,,Cover,,,Pace,
18,1,malinga,thakur,6,6,Short,Outside-off,,Midwicket,,,Slower,
17,6,lahiru kumara,thakur,1,1,Length,,,Mid-off,,,,
17,6,lahiru kumara,thakur,1,1,,,,Mid-off,,,,
17,6,lahiru kumara,thakur,1w,1,Length,,,,,,,
17,6,lahiru kumara,thakur,1w,1,,,,Square-leg,,,,
17,5,lahiru kumara,pandey,1,1,Short,,,Third-man,,,,
17,4,lahiru kumara,sundar,W,0,Short,Outside-off,,Third-man,,,Pace,Catch
17,3,lahiru kumara,kohli,1W,1,Short,,,Deep-square-leg,,,,Run-out
17,2,lahiru kumara,pandey,1,1,Length,Outside-off,,Long-on,,,,
17,1,lahiru kumara,pandey,4,4,Short,,Pull-shot,Midwicket,,,,
16,6,angelo mathews,kohli,2,2,,,,Deep-square-leg,,,,Stop
16,5,angelo mathews,kohli,4,4,Full,,,Backward-square-leg,,,,
16,4,angelo mathews,pandey,1,1,Yorker,,,Mid-on,,,,
16,3,angelo mathews,kohli,1,1,,,,Midwicket,,,,
16,2,angelo mathews,kohli,6,6,Good,,Straight-drive,,,,,
16,1,angelo mathews,kohli,2,2,Length,,,Midwicket,,,,
15,6,hasaranga,pandey,â€¢,0,Length,,,Backward-point,,Googly,,
15,5,hasaranga,pandey,2,2,,,Cut,Point,,,,
15,4,hasaranga,kohli,1,1,,Middle-stump,,Long-on,,,,
15,3,hasaranga,kohli,â€¢,0,Length,Outside-off,Cut,Point,,,,
15,2,hasaranga,pandey,1,1,Short,,Pull,Midwicket,,,,
15,1,hasaranga,pandey,â€¢,0,,,,,Inside-edge,Googly,,
14,6,sandakan,pandey,1,1,Length,Leg-stump,,Short-fine-leg,,Googly,,
14,5,sandakan,kohli,1,1,Full,Middle-stump,,Long-on,,,,
14,4,sandakan,pandey,1,1,Short,,Pull,Deep-square-leg,Top-edge,,,
14,3,sandakan,kohli,1,1,,,,Leg-side,,,,
14,2,sandakan,kohli,4,4,Short,,Pull,Long-on,,,,
14,1,sandakan,kohli,â€¢,0,Length,Outside-off,Cut,,Outside-edge,,,
13,6,lahiru kumara,pandey,4,4,Full,Outside-off,Drive,Extra-cover,,,,
13,5,lahiru kumara,kohli,1,1,,Leg-stump,,Long-on,,,,
13,4,lahiru kumara,kohli,â€¢,0,Length,,,,,,,Dive
13,3,lahiru kumara,pandey,1,1,Good,,Cut,Slip,,,,
13,2,lahiru kumara,kohli,1,1,Good,,,Midwicket,,,,
13,1,lahiru kumara,kohli,â€¢,0,Good,,,,,,,
12,6,sandakan,kohli,1,1,Length,Outside-off,Drive,Long-off,,,,
12,5,sandakan,shreyas iyer,W,0,Good,,,On-side,,,,
12,4,sandakan,shreyas iyer,4,4,Short,Outside-off,Cut,Point,,Googly,,Catch
12,3,sandakan,rahul,W,0,Short,,Drive,,,Googly,,Bowled
12,2,sandakan,rahul,4,4,Full,,,Cover,,,,
12,1,sandakan,rahul,2,2,Full,Leg-stump,,Square-leg,,,,Throw
11,6,hasaranga,rahul,1,1,Good,,,Cover,,,,
11,5,hasaranga,rahul,4,4,Short,,Pull,Midwicket,,,,
11,4,hasaranga,pandey,1,1,Length,Outside-off,,Long-off,,,,
11,3,hasaranga,samson,W,0,Length,Outside-off,,,Inside-edge,Googly,,
11,2,hasaranga,rahul,1,1,,,,Long-on,,,,
11,1,hasaranga,rahul,2,2,Short,,,Midwicket,,,,
10,6,sandakan,samson,6,6,,Outside-off,Off-drive,,Mishit,,,
10,5,sandakan,s dhawan,W,0,Good,,Sweep,Midwicket,,,,Catch
10,4,sandakan,s dhawan,2,2,,,Reverse-sweep,Third-man,Top-edge,,,
10,3,sandakan,rahul,1,1,,,,Deep-square-leg,,,,
10,2,sandakan,s dhawan,1,1,,,Drive,Extra-cover,,,,
10,1,sandakan,rahul,1,1,,Outside-off,Sweep,Short-fine-leg,,Googly,,
9,6,hasaranga,rahul,1,1,Length,Leg-stump,,Deep-square,,Googly,,
9,5,hasaranga,s dhawan,1,1,Short,Outside-off,,Long-off,,Googly,,
9,4,hasaranga,s dhawan,â€¢,0,Length,,,,,,,
9,3,hasaranga,rahul,1,1,Full,Middle-stump,,Midwicket,,Googly,,
9,2,hasaranga,s dhawan,1,1,,Outside-off,,Long-off,,,,
9,1,hasaranga,s dhawan,6,6,Length,Outside-off,Sweep,Midwicket,,,,
8,6,sandakan,s dhawan,1,1,Short,Outside-off,,Midwicket,,,,
8,5,sandakan,rahul,1,1,Short,,,Long-on,,,,
8,4,sandakan,s dhawan,1lb,0,Length,Outside-off,Reverse-sweep,Off-side,,,,
8,3,sandakan,rahul,1,1,Good,,,Midwicket,,,Pace,
8,2,sandakan,s dhawan,1,1,Short,Outside-off,,Cover,,,,
8,1,sandakan,rahul,1,1,Short,Outside-off,,Long-on,,,Pace,
7,6,hasaranga,rahul,1,1,Length,Outside-off,,Cover,,,,
7,5,hasaranga,s dhawan,1,1,Length,Leg-stump,,Midwicket,,,,
7,4,hasaranga,s dhawan,â€¢,0,Short,Leg-stump,,Short-fine-leg,,,,
7,3,hasaranga,rahul,1,1,Short,Middle-stump,,Long-on,,,,
7,2,hasaranga,s dhawan,1,1,Full,Leg-stump,,Midwicket,,,,
7,1,hasaranga,s dhawan,â€¢,0,Length,,,,Outside-edge,,Spin,
6,6,angelo mathews,s dhawan,1,1,Short,Outside-off,,Cover,,,Slower,
6,5,angelo mathews,s dhawan,â€¢,0,Short,Outside-off,Cut,Point,,,Slower,
