Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
19,6,paul,jadeja,1,1,Yorker,,,Mid-off,,,Slower,
19,5,paul,jadeja,6,6,Length,,,Midwicket,,,Slower,
19,4,paul,krunal,1,1,Yorker,,Drive,Long-off,,,Slower,
19,3,paul,krunal,â€¢,0,Length,Outside-off,Cut,,,,Slower,
19,2,paul,krunal,6,6,Full,Outside-off,,,,,,
19,1,paul,krunal,6,6,Full,,,Deep-square-leg,,,,
18,6,cottrell,krunal,1,1,Full,,,Deep-square,,,,
18,5,cottrell,jadeja,1lb,0,,,,Leg-side,,,Slower,Run-out
18,4,cottrell,jadeja,2,2,Full,,,Deep-mid-wicket,,,,Throw
18,3,cottrell,pandey,W,0,Short,,Pull,,Top-edge,,,Bowled
18,2,cottrell,krunal,1lb,0,Full,Leg-stump,,Leg-side,,,,
18,1,cottrell,pandey,1,1,Length,,,Short-third-man,,,Slower,
17,6,paul,pandey,1,1,Good,,,Deep-square,,,Slower,
17,5,paul,krunal,1,1,Full,,,Long-off,,,,
17,4,paul,pandey,1,1,Short,,,Midwicket,,,Pace,
17,3,paul,krunal,1,1,Full,,,Long-off,,,,
17,2,paul,krunal,2,2,Yorker,,,Extra-cover,,,,
17,1,paul,krunal,â€¢,0,Length,Outside-off,,Cover,,,,
16,6,cottrell,krunal,1,1,Length,,,On-side,Inside-edge,,,
16,5,cottrell,pandey,1,1,Good,,,Midwicket,,,,
16,4,cottrell,krunal,1,1,Full,,,Square-leg,,,Pace,
16,3,cottrell,krunal,â€¢,0,Yorker,Leg-stump,,Mid-on,,,Slower,
16,2,cottrell,kohli,W,0,Yorker,Middle-stump,,On-side,,,,Bowled
16,1,cottrell,kohli,2,2,Good,,,Cover,,,Pace,
15,6,thomas,kohli,1,1,Short,,Pull,Midwicket,,,Slower,
15,5,thomas,pandey,1,1,Good,,,Cover,,,,Bowled
15,4,thomas,kohli,1,1,Short,,Pull,Deep-square-leg,,,,
15,3,thomas,pandey,1,1,Short,,Pull,Mid-on,,,,
15,2,thomas,pandey,â€¢,0,Short,,Pull,Midwicket,,,,
15,1,thomas,pant,W,0,Short,Outside-off,,Third-man,,,Pace,
14,6,narine,pant,1,1,Short,,,Short-third-man,,,Slower,
14,5,narine,kohli,1,1,Full,,,Long-on,,,,
14,4,narine,pant,1,1,,,,Square-leg,,,,
14,3,narine,kohli,1,1,,,,Short-third-man,,,,
14,2,narine,kohli,4,4,,,,Midwicket,,,,
14,1,narine,pant,1,1,Full,,,Long-off,,,,
13,6,thomas,pant,1,1,Short,,,Extra-cover,,,,
13,6,thomas,pant,1,1,Short,,,Extra-cover,,,,
13,6,thomas,pant,1w,1,Short,,,Extra-cover,,,,
13,6,thomas,pant,1w,1,Short,,,,,,,
13,5,thomas,rohit sharma,W,0,Good,Outside-off,Pull,Cover,,,Slower,Catch
13,4,thomas,kohli,1,1,Short,,,Midwicket,,,,
13,3,thomas,rohit sharma,1lb,0,,,,,,,Slower,
13,2,thomas,kohli,1,1,,,,Long-on,,,,
13,1,thomas,rohit sharma,1,1,Length,Outside-off,,Deep-square,,,,
12,6,brathwaite,kohli,â€¢,0,Length,Outside-off,,Cover,,,,
12,5,brathwaite,kohli,2,2,Full,,,Midwicket,,,,
12,4,brathwaite,rohit sharma,1,1,Short,,,Deep-square-leg,,,,
12,3,brathwaite,rohit sharma,4,4,Full,,,Point,,,,
12,2,brathwaite,rohit sharma,â€¢,0,,,,Point,,,,
12,1,brathwaite,rohit sharma,6,6,,,,Deep-mid-wicket,,Leg-cutter,Slower,
11,6,pierre,kohli,â€¢,0,,,,Leg-side,,,,
11,5,pierre,rohit sharma,1,1,Full,,,Midwicket,,,,
11,4,pierre,rohit sharma,2,2,Short,,Sweep,,,,,
11,3,pierre,kohli,1,1,,,,Long-on,,,,
11,2,pierre,kohli,6,6,,,,,,,,
11,1,pierre,rohit sharma,1,1,,,,Midwicket,,,,
10,6,narine,rohit sharma,1,1,Good,,Sweep,Midwicket,,,Fast,Catch
10,5,narine,kohli,1,1,,,,Deep-point,,,,
10,4,narine,rohit sharma,1,1,,,,Long-off,,,,
10,3,narine,rohit sharma,â€¢,0,,,,Cover,,,,
10,2,narine,rohit sharma,6,6,Short,,Pull,Midwicket,,,,
10,1,narine,kohli,1,1,Good,Outside-off,,Short-third-man,,,,
9,6,pierre,kohli,1,1,,,,Deep-cover,,,Spin,
9,5,pierre,kohli,â€¢,0,,Outside-off,,Cover,,,,
9,4,pierre,rohit sharma,1,1,,,,Cover,,,,
9,3,pierre,kohli,1,1,,,,Cover,,,,Stop
9,2,pierre,rohit sharma,1,1,,,,Long-on,,,,
9,2,pierre,rohit sharma,1,1,,,Sweep,Long-on,,,,
9,2,pierre,rohit sharma,1w,1,,,Sweep,Long-on,,,,
9,2,pierre,rohit sharma,1w,1,,,Sweep,Leg-side,,,,
9,1,pierre,rohit sharma,â€¢,0,,,,,,,,
8,6,narine,rohit sharma,1,1,Full,,,Long-on,,,,
8,5,narine,rohit sharma,â€¢,0,Short,Outside-off,,Point,,,,
8,4,narine,kohli,1,1,Short,,,Long-on,,,,
8,3,narine,kohli,â€¢,0,,,,,Inside-edge,,,
8,2,narine,rohit sharma,1,1,Full,,,Long-on,,,,
8,1,narine,kohli,1,1,,,,Midwicket,,,,
7,6,paul,kohli,1,1,Short,,Pull,Deep-square,,,,
7,5,paul,s dhawan,W,0,Full,,,,,,Pace,Bowled
7,4,paul,s dhawan,2,2,,Outside-off,Cut,Point,,,Slower,
7,3,paul,rohit sharma,1,1,,Outside-off,,Midwicket,,,Slower,
7,2,paul,s dhawan,1,1,Full,,Drive,Point,,,,
7,1,paul,s dhawan,2,2,,Outside-off,,Deep-point,,,,Throw
6,6,brathwaite,rohit sharma,â€¢,0,Short,,Pull,,,,Slower,
6,5,brathwaite,s dhawan,1,1,Full,,,Long-on,,,,
6,4,brathwaite,s dhawan,4,4,Good,,,Short-third-man,,,Pace,Bowled
6,4,brathwaite,s dhawan,4,4,,Outside-off,,Short-third-man,,,Pace,
6,4,brathwaite,s dhawan,1w,1,Good,Outside-off,,Slip,,,Slower,Bowled
6,4,brathwaite,s dhawan,1w,1,,Outside-off,,Slip,,,Slower,
6,3,brathwaite,rohit sharma,1,1,,,,Long-leg,,,Slower,
6,2,brathwaite,s dhawan,1,1,Full,,Drive,Long-off,,,,
6,1,brathwaite,rohit sharma,1,1,Full,Outside-off,Drive,Point,,,,
5,6,paul,rohit sharma,1,1,Length,Leg-stump,,Long-on,,,Slower,
5,5,paul,rohit sharma,4,4,Full,,,Short-fine-leg,,,Fast,
5,4,paul,rohit sharma,2,2,,,,Deep-square,,,,
5,3,paul,rohit sharma,6,6,Full,Leg-stump,,Midwicket,,,Slower,
5,2,paul,rohit sharma,â€¢,0,,,,,Inside-edge,,,
5,1,paul,rohit sharma,â€¢,0,Length,Outside-off,,Mid-off,,,,
4,6,narine,s dhawan,4,4,,,,Mid-on,,,,Stop
4,5,narine,s dhawan,â€¢,0,Full,Outside-off,Sweep,Mid-on,,,,
4,4,narine,rohit sharma,1,1,Short,,,Midwicket,,,,
4,3,narine,rohit sharma,â€¢,0,,Outside-off,Drive,Cover,,,,
4,2,narine,rohit sharma,â€¢,0,,,,Off-side,,,,
4,1,narine,rohit sharma,â€¢,0,Length,,,Mid-off,,,,
3,6,cottrell,s dhawan,2,2,,Outside-off,Cut,Point,,,,
3,5,cottrell,rohit sharma,1,1,,,,Long-on,,,,
3,4,cottrell,rohit sharma,â€¢,0,Length,Outside-off,,Off-side,,,,
3,3,cottrell,rohit sharma,4,4,Length,,,Mid-off,,,,
3,2,cottrell,rohit sharma,2,2,Full,,,Deep-square,,,Slower,
3,1,cottrell,rohit sharma,4,4,,,,Extra-cover,,,,
2,6,thomas,s dhawan,4,4,Short,,Upper-cut,Third-man,,,Pace,
2,5,thomas,rohit sharma,1,1,Short,Outside-off,,Third-man,,,,
2,4,thomas,s dhawan,1,1,,,,Mid-off,,,,
2,3,thomas,rohit sharma,1,1,,,,Point,,,,
2,2,thomas,rohit sharma,4,4,Length,Leg-stump,,Midwicket,,,,Slide
2,1,thomas,s dhawan,1,1,,,Drive,Mid-off,,,,Stop
1,6,cottrell,rohit sharma,â€¢,0,,,,Slip,Inside-edge,,,
1,5,cottrell,rohit sharma,â€¢,0,,,,Mid-off,,,,
1,5,cottrell,rohit sharma,â€¢,0,,,,Mid-off,,,,
1,5,cottrell,rohit sharma,1w,1,,,,Mid-off,,,,
1,5,cottrell,rohit sharma,1w,1,,,,Leg-side,,,,
1,4,cottrell,rohit sharma,â€¢,0,Short,,,Midwicket,,,,
1,3,cottrell,rohit sharma,â€¢,0,,,,Cover,,,,
1,3,cottrell,rohit sharma,â€¢,0,,,,Cover,,,,
1,3,cottrell,rohit sharma,1w,1,,,,,,,,
1,3,cottrell,rohit sharma,1w,1,,,,Leg-side,,,,
1,2,cottrell,rohit sharma,â€¢,0,Full,,Glance,Leg-side,,,,
1,1,cottrell,rohit sharma,â€¢,0,Full,,On-drive,Mid-on,,,,Bowled
1,1,cottrell,rohit sharma,â€¢,0,Full,,On-drive,Mid-on,,,,
1,1,cottrell,rohit sharma,1w,1,Full,,,Slip,,,,Bowled
1,1,cottrell,rohit sharma,1w,1,Full,,,Slip,,,,
0,6,thomas,s dhawan,â€¢,0,Length,,Drive,Off-side,,,,
0,5,thomas,s dhawan,â€¢,0,Short,,Upper-cut,,,,Pace,
0,4,thomas,s dhawan,â€¢,0,Short,Outside-off,,,,,,
0,3,thomas,rohit sharma,1,1,,,,Deep-square,,,,
0,3,thomas,rohit sharma,1,1,,,,Deep-square,,,,
0,3,thomas,rohit sharma,1w,1,Length,,,Slip,,,,
0,3,thomas,rohit sharma,1w,1,Length,,,Slip,,,,
0,2,thomas,rohit sharma,â€¢,0,Short,,,Midwicket,,,,
0,1,thomas,rohit sharma,4,4,Short,,,Fine-leg,,,,
