ball,score,commentary,second_commentary
16.3,4,"Hazlewood to Hardik, FOUR runs FOUR runs thick edge off the toe to third! Third is up. It was a wide full length, he threw the bat at it and gets it off the toe and it runs away","Hazlewood to Hardik Pandya, FOUR, streaky once again but Hardik won't mind it. Very full delivery and Hardik went chasing outside off, it was so far that he toe-ended the drive to the right of short third man"
16.2,1,"Hazlewood to Karthik,  1 run 1 run 137kph, good length fourth stump, he opens the bat face and glides to deep third","Hazlewood to Karthik, 1 run, back of a length around off, Karthik is happy to open the face and run it down to third man"
16.2,1,"Hazlewood to Karthik,  1 run 1 run 137kph, good length fourth stump, he opens the bat face and glides to deep third","Hazlewood to Karthik, wide, strays down leg, Karthik gets inside the line and fails to connect with the glance, wide called"
16.2,1w,"Hazlewood to Karthik, 1 wide 1 wide angled down leg and called wide","Hazlewood to Karthik, 1 run, back of a length around off, Karthik is happy to open the face and run it down to third man"
16.2,1w,"Hazlewood to Karthik, 1 wide 1 wide angled down leg and called wide","Hazlewood to Karthik, wide, strays down leg, Karthik gets inside the line and fails to connect with the glance, wide called"
16.1,1,"Hazlewood to Hardik,  1 run 1 run 137kph, top of middle, he whips this nicely to deep midwicket but only gets one","Hazlewood to Hardik Pandya, 1 run, hard length and right at the body, Hardik flicks it to deep mid-wicket and settles with a single"
15.6,2,"Ellis to Karthik,  2 runs 2 runs 130kph, full and slanting into leg, he tucks this neatly behind square into the gap for two","Nathan Ellis to Karthik, 2 runs, full delivery angled into the pads, Karthik flicks it behind square on the leg-side and gets off the mark with a brace"
15.5,W,"Ellis to Axar Patel, OUT OUT slower ball forces the error! Holes out to long off! Brilliant bowling. Back of the hand slower ball wide of off, Axar tries to loft over cover but miscues and skies it high to long off. Easy catch for Green See all photos","Nathan Ellis to Axar, out Caught by Green!! Ellis has been superb today. Second wicket for him and he has taken a couple of catches as well. The back of the hand slower ball completely outfoxing Axar who didn't pick it and wanted to loft over the cover region, miscues it towards long-off and Green makes no mistake. India won't mind this wicket as it brings their designated finisher to the crease. Axar c Green b Nathan Ellis 6(5) [4s-1]"
15.4,1,"Ellis to Hardik,  1 run 1 run 125kph slower bouncer, he adjusts late and knocks this down to short third","Nathan Ellis to Hardik Pandya, 1 run, now a slower ball dug into the surface, Hardik waits and dabs it to short third man"
15.3,•,"Ellis to Hardik, no run no run back of a length, 132kph, fourth stump, he's cramped pushing this back to the bowler","Nathan Ellis to Hardik Pandya, no run, back of a length and no room on off, Hardik knocks it back to Ellis and is livid not to have at least got a single"
15.2,•,"Ellis to Hardik, no run no run slower ball outside off, he gets a thick edge along the ground and Wade dives to stop it","Nathan Ellis to Hardik Pandya, no run, off-pace delivery and Hardik did not pick it, he's through the drive early and the outside edge rolls to the right of Wade"
15.1,4,"Ellis to Hardik, FOUR runs FOUR runs guided fine of short third with and open face! Wide worker with third up in the ring, he opens the face, gets a thick edge but it was the intention","Nathan Ellis to Hardik Pandya, FOUR, not sure it was intentional but Hardik won't mind the final result. Yorker outside off, he toe-ends the drive and the ball races past Inglis near short third man"
14.6,1,"Cummins to Hardik,  1 run 1 run wide low full toss, sliced to deep backward point","Cummins to Hardik Pandya, 1 run, low full toss outside off, Hardik opens the bat face and slices the drive to deep backward point"
14.5,4,"Cummins to Hardik, FOUR runs FOUR runs carved over cover-point! Incredible power. Shorter length, he's cramped but he stands up and slaps this with extraordinary power forward of point","Cummins to Hardik Pandya, FOUR, smashed! Slower short of length delivery and Hardik does not have much room to free his arms, but he still manages to slap it over the extra cover region and the ball travels quickly to the fence"
14.4,•,"Cummins to Hardik, no run no run bouncer, over leg, tight call but not called wide on line or height","Cummins to Hardik Pandya, no run, bouncer angled down leg, Hardik gets inside the line and tries to swat it away, misses and umpire signals one for the over. Cummins got away with that as it was clearly outside leg"
14.3,1,"Cummins to Axar Patel,  1 run 1 run 111kph, slower ball wide of off, he cuts to deep point","Cummins to Axar, 1 run, slower and fraction short, Axar waits and cuts it in front of square to sweeper cover"
14.2,4,"Cummins to Axar Patel, FOUR runs FOUR runs sensational straight drive! On the up. Overpitched and he leans on a classic straight drive","Cummins to Axar, FOUR, shot! Axar can bat mind you and he just shows his class. Nothing much wrong with the delivery - fuller and close to off, Axar drives on the rise and straight back past Hardik. No need to run for that"
14.1,•,"Cummins to Axar Patel, no run no run good length, 136kph, fourth stump, he mistimes a drive to midwicket","Cummins to Axar, no run, fuller and angled across, Axar drives but inside halves it to mid-wicket"
