ball,score,commentary,second_commentary
19.6,4,"maxwell to gaikwad, four runsa 30-run over  slogged to deep midwicket, and there  a chance of a catch, but the ball falls just short of the fielding running in, and squirts behind him for four more  gaikwad unbeaten on 123, india finish on 222","maxwell to gaikwad, four, india finish with 222/3 in 20 overs  gaikwad spanks this over deep-mid-wicket and the fielder sprinting across only manages to get his hands to it, can't grab the ball though and india finish on a high"
19.5,6,"maxwell to gaikwad,  six runsshort ball on middle and off  gaikwad stays in his crease and pummels a six over wide long-on ","maxwell to gaikwad, six, stays put and clubs this floated delivery over long-on for six more  maxwell has no answers to this onslaught by gaikwad"
19.4,6,"maxwell to gaikwad,  six runspumped  full ball, gaikwad gives him the charge, and then sends the six over long-on ","maxwell to gaikwad, six, shimmies down the wicket and smokes this floated delivery over long-on for a maximum more  insane hitting"
19.4,6,"maxwell to gaikwad,  six runspumped  full ball, gaikwad gives him the charge, and then sends the six over long-on ","maxwell to gaikwad, wide, fired down the leg-side, it  a wide ball"
19.4,1w,"maxwell to gaikwad, 1 widefull ball around leg  attempts the sweep, misses  wade not happy  was there some touch?","maxwell to gaikwad, six, shimmies down the wicket and smokes this floated delivery over long-on for a maximum more  insane hitting"
19.4,1w,"maxwell to gaikwad, 1 widefull ball around leg  attempts the sweep, misses  wade not happy  was there some touch?","maxwell to gaikwad, wide, fired down the leg-side, it  a wide ball"
19.3,1,"maxwell to tilak varma,  1 runoff the pad to the leg-side for one","maxwell to tilak varma, 1 run, off an inside edge and off the pads towards the leg-side"
19.2,1,"maxwell to gaikwad,  1 runstruck to deep midwicket","maxwell to gaikwad, 1 run, into the slot and gaikwad has heaved this towards deep-mid-wicket on the bounce"
19.2,1,"maxwell to gaikwad,  1 runstruck to deep midwicket","maxwell to gaikwad, no ball, four, smashes this floated delivery right over the bowler  head and manages to beat long-off, but maxwell has overstepped  free-hit coming up "
19.2,5nb,"maxwell to gaikwad,  no ball  four runshe  overstepped too ","maxwell to gaikwad, 1 run, into the slot and gaikwad has heaved this towards deep-mid-wicket on the bounce"
19.2,5nb,"maxwell to gaikwad,  no ball  four runshe  overstepped too ","maxwell to gaikwad, no ball, four, smashes this floated delivery right over the bowler  head and manages to beat long-off, but maxwell has overstepped  free-hit coming up "
19.1,6,"maxwell to gaikwad,  six runsthere  the hundred  fullish ball  steps forward and then muscles a shot over wide long-on  that  hundred in 52 balls  crazy accelerationsee all photos","maxwell to gaikwad, six, maiden t20i century for gaikwad  what a special moment as he takes off the helmet and celebrates it in style  has a wide smile on his face too  brings it up with a maximum over deep-mid-wicket and tilak walks up to him and congratulates him  not for the first time have we seen him play such a knock  has done this on several previous occasions in india  domestic circuit and in the indian premier league  "
18.6,2,"ellis to tilak varma,  2 runsshort ball  he moves to the off-side and plays a paddle over his shoulder past wade for a couple","nathan ellis to tilak varma, 2 runs, slashed over cover as it  a widish delivery, but it lands just in front of the fielder who was charging in from the deep"
18.5,4,"ellis to tilak varma, four runsshort ball  waits for it, then pulls behind square, and its one-bounce four ","nathan ellis to tilak varma, four, runs coming thick and fast from both the ends  a short ball by nathan ellis and tilak varma swivel-pulls this towards deep-square-leg as the ball almost goes the distance"
18.4,2,"ellis to tilak varma,  2 runsshort of length ball on middle  tilak spots the slower ball and paddles it over wade  head","nathan ellis to tilak varma, 2 runs, scoops this short ball over the keeper  head for a couple of runs  couldn't really middle it as there wasn't much pace on offer"
18.3,•,"ellis to tilak varma, no runshort ball, attempts the pull  misses it after losing his shape","nathan ellis to tilak varma, no run, slower bouncer outside off, tilak varma swings and misses, got deceived due to the lack of pace"
18.2,1,"ellis to gaikwad,  1 runfull ball just outside off  guided to deep backward-point","nathan ellis to gaikwad, 1 run, opens the bat face and slices this towards backward-point for one"
18.1,1,"ellis to tilak varma,  1 runfull ball on middle  can't get underneath it very well  hit to wide long-on","nathan ellis to tilak varma, 1 run, good field placement as tilak varma whips it towards deep-mid-wicket, nothing more than a single though"
18.1,1,"ellis to tilak varma,  1 runfull ball on middle  can't get underneath it very well  hit to wide long-on","nathan ellis to tilak varma, wide, fired outside off, tilak varma can't reach for it, back-to-back wides"
18.1,1,"ellis to tilak varma,  1 runfull ball on middle  can't get underneath it very well  hit to wide long-on","nathan ellis to tilak varma, wide, starts off with a wide, goes slow, but misses the tramline outside off"
18.1,1w,"ellis to tilak varma, 1 widefull and wide again  they collect the extra again","nathan ellis to tilak varma, 1 run, good field placement as tilak varma whips it towards deep-mid-wicket, nothing more than a single though"
18.1,1w,"ellis to tilak varma, 1 widefull and wide again  they collect the extra again","nathan ellis to tilak varma, wide, fired outside off, tilak varma can't reach for it, back-to-back wides"
18.1,1w,"ellis to tilak varma, 1 widefull and wide again  they collect the extra again","nathan ellis to tilak varma, wide, starts off with a wide, goes slow, but misses the tramline outside off"
18.1,1w,"ellis to tilak varma, 1 widefull and wide outside off  left alone  that  the hundred partnership with tilak  contribution 21","nathan ellis to tilak varma, 1 run, good field placement as tilak varma whips it towards deep-mid-wicket, nothing more than a single though"
18.1,1w,"ellis to tilak varma, 1 widefull and wide outside off  left alone  that  the hundred partnership with tilak  contribution 21","nathan ellis to tilak varma, wide, fired outside off, tilak varma can't reach for it, back-to-back wides"
18.1,1w,"ellis to tilak varma, 1 widefull and wide outside off  left alone  that  the hundred partnership with tilak  contribution 21","nathan ellis to tilak varma, wide, starts off with a wide, goes slow, but misses the tramline outside off"
17.6,2,"hardie to gaikwad,  2 runsfull and wide ball outside off again  gaikwad moves off-side to repeat the previous shot  hit to deep-square-leg this time and the fielder cuts it off  25 runs off the over ","hardie to gaikwad, 2 runs, 25 runs from the over  gaikwad goes down on his knee and swipes this towards deep-mid-wicket, but the fielder stationed near the fence sprints across and stops it"
17.5,6,"hardie to gaikwad,  six runsfull ball wider outside off  gaikwad wears his suryakumar mask, moves to the off-side and plays a flick nonchalantly over fine-leg  into the nineties","hardie to gaikwad, six, excellent batting  walks across in the crease and swipes this overpitched delivery over deep backward-square-leg  into the 90s now "
17.4,•,"hardie to gaikwad, no runno run this time","hardie to gaikwad, no run, looks to play across, but hardie goes full and wide outside off"
17.3,4,"hardie to gaikwad, four runsfull ball around off  gaikwad is seeing 'em like watermelons and thumps a shot down the v to long-on for four more ","hardie to gaikwad, four, add four more to it  hardie is proving to be really expensive in his last over  goes full again and gaikwad lofts it over the bowler  head and the lightning quick outfield is enough to fetch him a boundary  plenty of changes in the field following that as the bowler seems to be under tremendous pressure"
17.2,6,"hardie to gaikwad,  six runsshort ball outside off  gaikwad pre-empts it, moves to the off-side, gets in line for a pull, and sends the ball over the deep midwicket boundary ","hardie to gaikwad, six, short and punished  gets hold of this loosener and thumps it over deep-mid-wicket for the second maximum of the over"
17.2,6,"hardie to gaikwad,  six runsshort ball outside off  gaikwad pre-empts it, moves to the off-side, gets in line for a pull, and sends the ball over the deep midwicket boundary ","hardie to gaikwad, wide, hardie goes wide outside off and it  missed the tramline  wade wants a review for a wide, but it  not available in this format"
17.2,1w,"hardie to gaikwad, 1 widefull ball, wide outside the tram-lines  misses","hardie to gaikwad, six, short and punished  gets hold of this loosener and thumps it over deep-mid-wicket for the second maximum of the over"
17.2,1w,"hardie to gaikwad, 1 widefull ball, wide outside the tram-lines  misses","hardie to gaikwad, wide, hardie goes wide outside off and it  missed the tramline  wade wants a review for a wide, but it  not available in this format"
17.1,6,"hardie to gaikwad,  six runsgoing, going, gone  slot ball just outside off, and gaikwad deposits it over the bowler  head ","hardie to gaikwad, six, spanked  hardie goes full and straight outside off, gaikwad stands tall and lofts it over long-off for a clean six  no need to run for those"
16.6,1,"behrendorff to gaikwad,  1 runan epic spell from behrendorff - 1-12 in four overs with 17 dots  ends the spell with a yorker on leg that  dug away","behrendorff to gaikwad, 1 run, end of a fantastic spell by behrendorff  can well prove to be a match defining one  right into the blockhole and gaikwad can only manage to dig it towards deep mid-on  a single to end behrendorff  spell: 4-1-12-1"
