ball,score,commentary,second_commentary
16.2,1,"hazlewood to karthik ,  1 run 1 run 137kph , good length fourth stump , he opens the bat face and glides to deep-third","hazlewood to karthik , wide , strays down leg , karthik gets inside the line and fails to connect with the glance , wide called"
16.2,1w,"hazlewood to karthik , 1 wide 1 wide angled down leg and called wide","hazlewood to karthik , 1 run , good around off , karthik is happy to open the face and run it down to third-man"
16.2,1w,"hazlewood to karthik , 1 wide 1 wide angled down leg and called wide","hazlewood to karthik , wide , strays down leg , karthik gets inside the line and fails to connect with the glance , wide called"
16.1,1,"hazlewood to hardik ,  1 run 1 run 137kph , top of middle , he whips this nicely to deep midwicket but only gets one","hazlewood to hardik pandya , 1 run , hard length and right at the body , hardik flicks it to deep-mid-wicket and settles with a single"
15.6,2,"ellis to karthik ,  2 runs 2 runs 130kph , full and slanting into leg , he tucks this neatly behind square into the gap for two","nathan ellis to karthik , 2 runs , full delivery angled into the pads , karthik flicks it behind square on the leg-side and gets off the mark with a brace"
15.5,W,"ellis to axar patel , out out slower ball forces the error  holes out to long-off  brilliant bowling  back of the hand slower ball wide of off , axar tries to loft over cover but miscues and skies it high to long-off  easy catch for green see all photos","nathan ellis to axar , out caught by green   ellis has been superb today  second wicket for him and he has taken a couple of catches as well  the back of the hand slower ball completely outfoxing axar who didn't pick it and wanted to loft over the cover region , miscues it towards long-off and green makes no mistake  india won't mind this wicket as it brings their designated finisher to the crease  axar c green b nathan ellis 6 5  [4s-1]"
15.4,1,"ellis to hardik ,  1 run 1 run 125kph slower bouncer , he adjusts late and knocks this down to short third","nathan ellis to hardik pandya , 1 run , now a slower ball dug into the surface , hardik waits and dabs it to short-third-man"
15.3,•,"ellis to hardik , no run no run good , 132kph , fourth stump , he  cramped pushing this back to the bowler","nathan ellis to hardik pandya , no run , good and no room on off , hardik knocks it back to ellis and is livid not to have at least got a single"
15.2,•,"ellis to hardik , no run no run slower ball outside-off , he gets a thick-edge along the ground and wade dives to stop it","nathan ellis to hardik pandya , no run , off-pace delivery and hardik did not pick it , he  through the drive early and the outside-edge rolls to the right of wade"
15.1,4,"ellis to hardik , four runs four runs guided fine of short third with and open face  wide worker with third up in the ring , he opens the face , gets a thick-edge but it was the intention","nathan ellis to hardik pandya , four , not sure it was intentional but hardik won't mind the final result  yorker outside-off , he toe-ends the drive and the ball races past inglis near short-third-man"
14.6,1,"cummins to hardik ,  1 run 1 run wide low full toss , sliced to deep backward-point","cummins to hardik pandya , 1 run , low full toss outside-off , hardik opens the bat face and slices the drive to deep backward-point"
14.5,4,"cummins to hardik , four runs four runs carved over cover-point  incredible power  shorter length , he  cramped but he stands up and slaps this with extraordinary power forward of point","cummins to hardik pandya , four , smashed  slower short of length delivery and hardik does not have much room to free his arms , but he still manages to slap it over the extra-cover region and the ball travels quickly to the fence"
14.4,•,"cummins to hardik , no run no run bouncer , over leg , tight call but not called wide on line or height","cummins to hardik pandya , no run , bouncer angled down leg , hardik gets inside the line and tries to swat it away , misses and umpire signals one for the over  cummins got away with that as it was clearly outside leg"
14.3,1,"cummins to axar patel ,  1 run 1 run 111kph , slower ball wide of off , he cuts to deep-point","cummins to axar , 1 run , slower and fraction short , axar waits and cuts it in front of square to sweeper cover"
14.2,4,"cummins to axar patel , four runs four runs sensational straight-drive  on the up  overpitched and he leans on a classic straight-drive","cummins to axar , four , shot  axar can bat mind you and he just shows his class  nothing much wrong with the delivery - fuller and close to off , axar drives on the rise and straight back past hardik  no need to run for that"
14.1,•,"cummins to axar patel , no run no run good length , 136kph , fourth stump , he mistimes a drive to midwicket","cummins to axar , no run , fuller and angled across , axar drives but inside halves it to mid-wicket"
13.6,•,"green to hardik , no run no run 139kph , yorker outside-off , he digs this out to cover","green to hardik pandya , no run , nails the yorker around outside-off , hardik digs it out to cover"
13.5,4,"green to hardik , four runs four runs hammered forward of point  short and wide and he crunches this with power well infront of the sweeper who is behind point see all photos","green to hardik pandya , four , not off the middle but in the gap , the outfield does the rest  width on offer and hardik chops the cut in front of square past cover , no chance for the sweeper to get across and stop that"
13.4,1,"green to axar patel ,  1 run 1 run good , fourth stump , he stands up and forces this to deep-point","green to axar , 1 run , short of length close to off , axar rides the bounce and punches it to sweeper cover"
13.3,W,"green to suryakumar , out out caught behind  extra bounce  good in the test match channel , surya tried to guide to deep-third but gets a thin-edge through to wade","green to suryakumar yadav , out caught by wade   massive wicket  suryakumar was starting to up the tempo and he departs attempting a cheeky shot  short of length delivery and around off , he wanted to run it down to third-man but it was too close to him , only manages an outside-edge and the ball carries nicely to wade  suryakumar yadav c wade b green 46 25  [4s-2 6s-4]"
13.2,1,"green to hardik ,  1 run 1 run top edge flies to fine-leg but just short of hazlewood  extra pace and bounce from green and he was lucky the attempted pull didn't reach fine-leg","green to hardik pandya , 1 run , banged in halfway down , hardik takes it on and goes for the pull , the top-edge lands near fine-leg where hazlewood is happy to take it on the bounce  maybe he could have gone for the catch?"
13.1,6,"green to hardik ,  six runs six runs clubbed over midwicket  length ball , top of middle , he sits deep and smashes this high over midwicket","green to hardik pandya , six , make it three in a row  australia  5th bowler has to bowl couple more and hardik wants to target him  good delivery and hardik was waiting for it , short-arm jabs it over deep-mid-wicket  the amount of power he generated on that shot is ridiculous"
12.6,6,"zampa to suryakumar ,  six runs six runs and again  deep midwicket this time  zampa is furious with himself  again a delivery in the slot , he was down on one knee to send it to the moon over deep midwicket","zampa to suryakumar yadav , six , and again  zampa continues dishing out length , and sky continues going down on it and tonking it even deeper , even higher"
12.5,6,"zampa to suryakumar ,  six runs six runs launched over long-on  84kph but a step hit  wrong length from zampa , he cleared the front leg and smashed it over long-on who watched it sail into the stands","zampa to suryakumar yadav , six , slot ball  a rare loose delivery this from zampa in this spell , and surya piles on , with a swinging full-blooded slog , over long-on"
12.4,1,"zampa to hardik ,  1 run 1 run tossed high on off , 88kph , he drives to long-off","zampa to hardik pandya , 1 run , very loopy , and dipping in the blockhole  pandya unwinds from deep in the crease , and whips it to long-off"
12.3,1,"zampa to suryakumar ,  1 run 1 run 96kph , fired into leg , he whips to deep midwicket","zampa to suryakumar yadav , 1 run , full , leg-lined , surya bottom-hands it to deep-mid-wicket"
12.2,1,"zampa to hardik ,  1 run 1 run tossed up on off , 88kph , he drives to long-off","zampa to hardik pandya , 1 run , full , on off , pushed off the front foot , through the covers"
12.1,1,"zampa to suryakumar ,  1 run 1 run 92kph , leg break drifting into leg , he glances to short fine","zampa to suryakumar yadav , 1 run , drifting in on leg-stump  sky walks , flicks , along the ground , to deep-mid-wicket"
