Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
17,3,southee,dube,6,6,Short,,Pull,Long-on,,,,
17,2,southee,rahul,1,1,Good,,,Long-on,,,,
17,1,southee,dube,1,1,Short,Outside-off,,Cover,,,,
16,6,sodhi,dube,1,1,Full,Outside-off,,Extra-cover,,,,
16,5,sodhi,dube,â€¢,0,Good,Leg-stump,,Midwicket,,,,
16,4,sodhi,rahul,1,1,,Middle-stump,,Long-on,,,,
16,3,sodhi,shreyas iyer,W,0,Full,Outside-off,Drive,Cover,,,,Catch
16,3,sodhi,shreyas iyer,W,0,Full,Outside-off,Drive,Cover,,,,Catch
16,3,sodhi,shreyas iyer,1w,1,,,,,,,,
16,3,sodhi,shreyas iyer,1w,1,,,,,,,,
16,2,sodhi,shreyas iyer,6,6,Full,,Straight-drive,Long-on,,,,
16,1,sodhi,rahul,1,1,Full,,,Midwicket,,,,
15,6,tickner,rahul,1,1,Good,,,Midwicket,,,,
15,5,tickner,shreyas iyer,1,1,Good,,,Point,,,,
15,4,tickner,shreyas iyer,4,4,,,,,,,,
15,3,tickner,shreyas iyer,6,6,Length,Outside-off,Drive,,,,,
15,2,tickner,rahul,1,1,Good,,,Fine-leg,,,,
15,1,tickner,shreyas iyer,1,1,Full,,,Square-leg,,,,
14,6,bennett,rahul,â€¢,0,,,,Midwicket,,,,Direct-hit
14,5,bennett,rahul,â€¢,0,Good,Outside-off,,Backward-point,,,,
14,5,bennett,rahul,â€¢,0,Good,,,Backward-point,,,,
14,5,bennett,rahul,5w,5,Short,Outside-off,,Backward-point,,,,Stop
14,5,bennett,rahul,5w,5,Short,,,,,,,Stop
14,4,bennett,rahul,4,4,Short,Outside-off,Drive,Extra-cover,,,,
14,3,bennett,rahul,6,6,Good,,,Midwicket,Top-edge,,,
14,2,bennett,shreyas iyer,1,1,Short,,Pull,Fine-leg,,,,
14,1,bennett,shreyas iyer,â€¢,0,Good,,,Midwicket,,,,
13,6,tickner,shreyas iyer,1,1,,,,Midwicket,,,,
13,5,tickner,shreyas iyer,â€¢,0,Short,Outside-off,Upper-cut,,,,,
13,4,tickner,shreyas iyer,â€¢,0,Short,,,Extra-cover,,,,Direct-hit
13,3,tickner,rahul,1,1,Good,,Pull,Midwicket,,,,
13,2,tickner,shreyas iyer,1,1,Short,Outside-off,,Third-man,,,,
13,1,tickner,shreyas iyer,2,2,Length,,,Deep-square-leg,,,,Stop
12,6,santner,shreyas iyer,1,1,Length,,,Long-off,,,,
12,5,santner,rahul,1,1,,Leg-stump,,Long-on,,,,
12,4,santner,rahul,â€¢,0,,,,Backward-point,,,,
12,3,santner,rahul,2,2,Full,Outside-off,,Point,,,,Slide
12,2,santner,rahul,â€¢,0,Full,Middle-stump,,,,,,Stop
12,1,santner,rahul,2,2,Short,Outside-off,Cut,Cover,,Slider,,Dive
11,6,sodhi,rahul,1,1,Short,Leg-stump,Pull,Deep-square-leg,Inside-edge,,,
11,5,sodhi,shreyas iyer,1,1,Full,Leg-stump,,Square-leg,Inside-edge,,,
11,4,sodhi,shreyas iyer,6,6,Full,,,Long-on,,,Spin,
11,3,sodhi,rahul,1,1,Good,,,Midwicket,,,,
11,3,sodhi,rahul,1,1,Good,Outside-off,,Midwicket,,,,
11,3,sodhi,rahul,1w,1,Good,Outside-off,,,,,,
11,3,sodhi,rahul,1w,1,Good,Outside-off,,,,,,
11,2,sodhi,shreyas iyer,1,1,Good,,,Long-on,,,,
11,1,sodhi,shreyas iyer,2,2,Full,,,Fine-leg,,,,Stop
