Over,Ball No.,Bowler,Batsman,Outcome,Runs,Length,Line,Shot Type,Position,Hit Type,Variation,Speed,Field Activity
18,5,allen,venkatesh iyer,6,6,Full,,,Midwicket,,,,
18,4,allen,suryakumar,1,1,,Outside-off,,Midwicket,,,,
18,3,allen,suryakumar,4,4,Good,Outside-off,Drive,Point,,,Pace,
18,2,allen,venkatesh iyer,1,1,Full,,,Long-on,,,,
18,1,allen,suryakumar,1,1,Full,Outside-off,Drive,Deep-point,,,,
17,6,shepherd,venkatesh iyer,4,4,Full,Outside-off,,,,,,
17,5,shepherd,suryakumar,1,1,Full,,Pull,Third-man,,,,
17,4,shepherd,venkatesh iyer,1,1,Short,Outside-off,Pull,Short-fine-leg,Inside-edge,,,
17,3,shepherd,venkatesh iyer,2,2,Full,Outside-off,Cover-drive,Cover,,,Slower,
17,2,shepherd,suryakumar,1,1,Good,Outside-off,,Midwicket,,,Slower,
17,1,shepherd,venkatesh iyer,1,1,Full,,,Long-on,,,,
16,6,cottrell,suryakumar,6,6,Short,Leg-stump,Pull,Fine-leg,,,Slower,
16,5,cottrell,suryakumar,4,4,Full,Outside-off,Drive,Cover,,,,
16,4,cottrell,venkatesh iyer,1,1,Short,,Scoop,Fine-leg,,,,
16,3,cottrell,suryakumar,1,1,Length,,,Long-on,,,Pace,
16,2,cottrell,venkatesh iyer,1,1,Length,,,Deep-square-leg,,,,
16,1,cottrell,venkatesh iyer,â€¢,0,Good,Outside-off,,Off-side,Outside-edge,,,
15,6,shepherd,venkatesh iyer,1,1,Length,,,Backward-square-leg,,,Slower,
15,6,shepherd,venkatesh iyer,1,1,Length,,,Backward-square-leg,,,Slower,
15,6,shepherd,venkatesh iyer,1w,1,Good,Outside-off,,Leg-side,,,Slower,
15,6,shepherd,venkatesh iyer,1w,1,Full,Outside-off,,,,,Slower,
15,5,shepherd,suryakumar,1,1,Good,Outside-off,,Midwicket,,,Slower,
15,4,shepherd,venkatesh iyer,1,1,Full,Leg-stump,,Fine-leg,,,,
15,3,shepherd,suryakumar,1,1,Yorker,,,Midwicket,,,,
15,3,shepherd,suryakumar,1,1,Yorker,Outside-off,,Midwicket,,,Slower,
15,3,shepherd,suryakumar,1w,1,,Outside-off,,Long-on,,,,
15,3,shepherd,suryakumar,1w,1,,Outside-off,,,,,Slower,
15,2,shepherd,suryakumar,â€¢,0,Good,,Pull,,Inside-edge,,Slower,
15,1,shepherd,suryakumar,â€¢,0,Good,Outside-off,,Mid-off,,,,
14,6,cottrell,suryakumar,1,1,Short,,,Deep-square-leg,,,,
14,5,cottrell,venkatesh iyer,1,1,Length,Leg-stump,,Square-leg,,,,
14,4,cottrell,venkatesh iyer,4,4,Short,,,,,,,
14,3,cottrell,pant,W,0,Short,,,Short-fine-leg,,,,Catch
14,2,cottrell,pant,2,2,Short,Outside-off,,Short-fine-leg,,,Slower,
14,1,cottrell,pant,â€¢,0,Full,,,,,,,
13,6,smith,suryakumar,â€¢,0,Full,Outside-off,,Cover,,,Slower,
13,5,smith,suryakumar,4,4,Short,Outside-off,Upper-cut,,,,Pace,
13,4,smith,pant,1,1,Good,Outside-off,,Off-side,,,,
13,3,smith,pant,â€¢,0,Full,,,,,,,
13,2,smith,pant,2,2,Full,,,Square-leg,,,Slower,
13,1,smith,pant,2,2,Short,,,Square-leg,,,Slower,
12,6,allen,suryakumar,â€¢,0,Full,Outside-off,,Extra-cover,,,,
12,5,allen,suryakumar,4,4,Short,,,Short-fine-leg,,,,
12,4,allen,suryakumar,4,4,Length,Outside-off,Cut,Point,,,,Dive
12,3,allen,kohli,W,0,Good,Outside-off,Off-drive,Long-off,,,,
12,2,allen,pant,1,1,Length,Outside-off,,Midwicket,,,,
12,1,allen,kohli,1,1,,Outside-off,,Extra-cover,,,,
11,6,chase,ishan,W,0,,,Pull,Midwicket,,,Pace,
11,5,chase,kohli,1,1,Length,,,Square-leg,,,,
11,4,chase,ishan,1,1,Full,,,Long-off,,,,
11,3,chase,kohli,1,1,Length,,Pull,Square-leg,,,,
11,2,chase,ishan,1,1,Length,,,Long-on,,,,
11,1,chase,ishan,â€¢,0,Full,Outside-off,Drive,,Inside-edge,,,
10,6,hosein,ishan,1,1,,,,Midwicket,,,,
10,5,hosein,kohli,1,1,,,Drive,Point,Inside-edge,Slider,,
10,4,hosein,ishan,1,1,,,,Long-on,,,,
10,3,hosein,kohli,1,1,,Outside-off,,Point,,,Fast,
10,2,hosein,kohli,4,4,Full,,,,,,,
10,1,hosein,ishan,1,1,,,,Long-on,,Slider,,
9,6,chase,ishan,1,1,Full,Outside-off,,Long-off,,,,
9,5,chase,ishan,â€¢,0,,,Cut,,Outside-edge,,,
9,4,chase,ishan,4,4,,Outside-off,,Extra-cover,,,,
9,3,chase,kohli,1,1,,,,Long-on,,,,
9,2,chase,ishan,1,1,,,,Point,,,,
9,1,chase,ishan,â€¢,0,Short,,,Short-third-man,,Slider,,Throw
8,6,hosein,ishan,1,1,Full,,,Midwicket,,,,
8,5,hosein,kohli,1,1,,,,Leg-side,,,,
8,4,hosein,kohli,2,2,Full,Leg-stump,,Square-leg,,,,
8,3,hosein,ishan,1lb,0,,,,Backward-square-leg,,Slider,,
8,2,hosein,kohli,1,1,,Leg-stump,,Square-leg,,,,
8,1,hosein,kohli,2,2,,,,Deep-square-leg,,,,
7,6,chase,ishan,â€¢,0,Good,Leg-stump,Pull,,,Slider,,
7,5,chase,ishan,â€¢,0,Short,Outside-off,,Short-third-man,Outside-edge,,Slow,
7,4,chase,kohli,1,1,Short,,,Square-leg,,,Spin,
7,3,chase,rohit sharma,W,0,,Middle-stump,,Midwicket,,,,Catch
7,2,chase,ishan,1,1,Full,Outside-off,,Long-off,,,,
7,1,chase,ishan,â€¢,0,,Outside-off,,Extra-cover,,,,
6,6,hosein,ishan,1,1,,Outside-off,,Midwicket,,,,
6,5,hosein,rohit sharma,1,1,Full,Leg-stump,,Long-on,,,,
6,4,hosein,ishan,1,1,Good,,,Midwicket,,,,
6,3,hosein,ishan,â€¢,0,Short,Outside-off,Sweep,Short-fine-leg,,,,
6,2,hosein,rohit sharma,1,1,Short,Outside-off,,Cover,,,,
6,1,hosein,ishan,1,1,,Outside-off,,Deep-square-leg,,,,
5,6,chase,rohit sharma,â€¢,0,Length,,,,Outside-edge,,,
5,5,chase,ishan,1,1,,,,Mid-on,,,,
5,4,chase,ishan,â€¢,0,Length,,,Leg-side,,,,
5,3,chase,ishan,â€¢,0,,,,Short-fine-leg,,,,
5,2,chase,ishan,â€¢,0,Length,Outside-off,Drive,,Outside-edge,,,
5,1,chase,ishan,â€¢,0,Good,Outside-off,,Point,,,,
4,6,hosein,rohit sharma,4,4,Full,Leg-stump,Sweep,Long-leg,,,,
4,5,hosein,rohit sharma,â€¢,0,Full,,,,,,,
4,4,hosein,ishan,1,1,Good,,,Midwicket,,,,
4,3,hosein,ishan,4,4,Short,,,Midwicket,,,,
4,2,hosein,ishan,4,4,Full,Outside-off,Sweep,Square-leg,,,,
4,1,hosein,ishan,â€¢,0,,,,Cover,,,,
3,6,smith,rohit sharma,6,6,Short,Outside-off,,Midwicket,,,,
3,5,smith,rohit sharma,4,4,Length,Outside-off,,Mid-off,,,,
3,4,smith,rohit sharma,6,6,,Outside-off,Hook,,Top-edge,,,
3,3,smith,ishan,1,1,Short,,,Midwicket,,,,
3,2,smith,rohit sharma,1,1,Short,,,Point,,,,
3,1,smith,rohit sharma,4,4,Full,Leg-stump,,Midwicket,,,Pace,
2,6,cottrell,ishan,4,4,Short,,Square-cut,Point,,,,
2,5,cottrell,rohit sharma,1,1,Good,,,Midwicket,,,,
2,5,cottrell,rohit sharma,1,1,Good,,Pull,Midwicket,,,,
2,5,cottrell,rohit sharma,1w,1,Short,,,Leg-side,,,,
2,5,cottrell,rohit sharma,1w,1,Short,,Pull,Leg-side,,,,
2,4,cottrell,rohit sharma,4,4,Short,,Pull,Deep-square-leg,,,Slower,Stop
2,3,cottrell,ishan,1,1,Good,Outside-off,,Third-man,,,,
2,2,cottrell,ishan,â€¢,0,Good,,,,,,,
2,1,cottrell,ishan,â€¢,0,Full,Outside-off,,Point,,,,
1,6,shepherd,rohit sharma,6,6,Full,,,Square-leg,,,,
1,5,shepherd,rohit sharma,â€¢,0,,,,Mid-on,,,,
1,4,shepherd,rohit sharma,â€¢,0,Full,,,Cover,Outside-edge,,,
1,3,shepherd,ishan,1,1,,,,Short-fine-leg,,,,
1,2,shepherd,rohit sharma,1,1,Good,,,Mid-on,,,,
1,1,shepherd,rohit sharma,â€¢,0,Good,Outside-off,,Cover,,,,
0,6,cottrell,ishan,â€¢,0,Good,Outside-off,,,Outside-edge,,,
0,5,cottrell,ishan,2,2,Good,Outside-off,,Third-man,,,,
0,4,cottrell,ishan,â€¢,0,Short,Outside-off,Pull,Extra-cover,,,,
0,3,cottrell,ishan,â€¢,0,Short,Outside-off,Pull,,,,,
0,2,cottrell,ishan,â€¢,0,Length,,,Short-fine-leg,,,,
0,1,cottrell,rohit sharma,1,1,Full,,,Midwicket,,,,
