ball,score,commentary,second_commentary
19.6,1W,"Ellis to Ravi Bishnoi, 1 run, OUTBanged in short he pulls to deep backward square leg. Goes for a second, and is run out by miles.Ravi Bishnoi run out (Philippe/†Wade) 2 (2b 0x4 0x6 9m) SR: 100","Nathan Ellis to Ravi Bishnoi, out Ravi Bishnoi Run Out!! 1 run completed. A back of the hand slower ball again outside off, Ravi Bishnoi mistimes the pull to deep square leg and wants two. Philippe is quick and throws it on the bounce to Wade who does the rest. Bishnoi is nowhere near to making it back. Ravi Bishnoi run out (Philippe/Wade) 2(2)"
19.5,1b,"Ellis to Arshdeep Singh, 1 byeSlower back of a length ball outside off, he has a wild swing and a miss. Bishnoi scampers through for a bye as Wade decides to not throw the ball","Nathan Ellis to Arshdeep Singh, byes, 1 run, a slower ball full outside off, Arshdeep Singh swings and misses, and they sneak a bye as Wade misses. Interesting with a direct-hit"
19.4,2,"Ellis to Arshdeep Singh,  2 runsBack of a length ball on leg stump, he helps it away to deep midwicket and they take two. Ellis seems to have hurt his ankle. He fell down on his follow-through and seems to be in a lot of pain. Out comes the physio.","Nathan Ellis to Arshdeep Singh, 2 runs, back of a length on the stumps, Arshdeep Singh mistimes the pull in front of deep mid-wicket and that allows the batters to come back for two. Nathan Ellis fell over after delivering that"
19.3,W,"Ellis to Shreyas Iyer, OUTCleans him up with a corker of a yorker. Almost 140kph and bang on middle stump. Iyer looks to flay it away again, is hit on the boot with the ball then smashing into off pole. Fifty and out is Iyer.Shreyas Iyer b Ellis 53 (37b 5x4 2x6 69m) SR: 143.24","Nathan Ellis to Shreyas Iyer, out Bowled!! Nathan Ellis comes back well. The yorker on the stumps, tailed in to middle-stump and through Shreyas Iyer's swing to leg. Cross-seam as well, catches the pad and falls on the stumps. Shreyas Iyer b Nathan Ellis 53(37) [4s-5 6s-2]"
19.3,W,"Ellis to Shreyas Iyer, OUTCleans him up with a corker of a yorker. Almost 140kph and bang on middle stump. Iyer looks to flay it away again, is hit on the boot with the ball then smashing into off pole. Fifty and out is Iyer.Shreyas Iyer b Ellis 53 (37b 5x4 2x6 69m) SR: 143.24","Nathan Ellis to Shreyas Iyer, wide, now the attempted off-cutter slower ball is wide of the tramline outside off, wide called"
19.3,1w,"Ellis to Shreyas Iyer, 1 wideFuller and outside off, he shoulders arms and this time gets a wide","Nathan Ellis to Shreyas Iyer, out Bowled!! Nathan Ellis comes back well. The yorker on the stumps, tailed in to middle-stump and through Shreyas Iyer's swing to leg. Cross-seam as well, catches the pad and falls on the stumps. Shreyas Iyer b Nathan Ellis 53(37) [4s-5 6s-2]"
19.3,1w,"Ellis to Shreyas Iyer, 1 wideFuller and outside off, he shoulders arms and this time gets a wide","Nathan Ellis to Shreyas Iyer, wide, now the attempted off-cutter slower ball is wide of the tramline outside off, wide called"
19.2,6,"Ellis to Shreyas Iyer,  SIX runsBANG!  Iyer gets his eighth T20I fifty in style. Another back of a hand slower ball outside off. He picks it early and deposits him over deep midwicket.See all photos","Nathan Ellis to Shreyas Iyer, SIX, 50 for Shreyas Iyer! Another back of the hand slower ball and it's on a length just outside off, Shreyas Iyer gets forward and heaves it over deep mid-wicket, short boundary and easily cleared"
19.1,4,"Ellis to Shreyas Iyer, FOUR runsSlower 111kph good length ball but the line was on leg stump. He gets inside the line and helps it to the right of deep backward square leg","Nathan Ellis to Shreyas Iyer, FOUR, Shreyas Iyer starts the final over well. Picks the back of the hand slower ball on a length on the stumps and waits for it to swing it to deep backward square leg, beating the dive of the fielder"
18.6,1,"Behrendorff to Shreyas Iyer,  1 runFuller on middle and leg, whisked to deep midwicket","Behrendorff to Shreyas Iyer, 1 run, full on the stumps, clipped to deep mid-wicket and Shreyas Iyer retains the strike with that run"
18.5,1,"Behrendorff to Ravi Bishnoi,  1 runOoh aggression from Bishnoi. Was the pacy good length ball on off, he whacks it to deep midwicket","Behrendorff to Ravi Bishnoi, 1 run, length just outside off, Ravi Bishnoi shuffles across and heaves to deep mid-wicket"
18.4,W,"Behrendorff to Axar Patel, OUTTop-edge and Hardie takes a smart catch running back from short third. Knuckle ball that was on a length on leg stump and arrives very late. Axar is through his flick way too early, and can only get a top-edge that is snapped up well. It actually went off the back of his bat to Hardie.Axar Patel c Hardie b Behrendorff 31 (21b 2x4 1x6 22m) SR: 147.61","Behrendorff to Axar, out Caught by Hardie at short third man!! The slower ball, knucke-ball, drifting down leg, hittable ball but Axar is early into the swing to leg, gets a top-edge and short third man runs back to take it. End of a superb knock. Axar c Hardie b Behrendorff 31(21) [4s-2 6s-1]"
18.3,2,"Behrendorff to Axar Patel,  2 runsFull-length ball outside off, he slices it over extra cover for a brace","Behrendorff to Axar, 2 runs, full and seam-up on the stumps, Axar gets forward to loft and slices it over extra-cover, a couple taken"
18.2,6,"Behrendorff to Axar Patel,  SIX runsGoing, going, gone! Back of a length ball outside off. Axar stands tall and slams him over long-on. He does not get a decent connection, but enough to clear the fielder","Behrendorff to Axar, SIX, Axar goes big. Picks the slower short ball and gets forward to flat-bat over long-on, sails away over the fielder"
18.1,1,"Behrendorff to Shreyas Iyer,  1 runSlower back of a length ball outside off, Iyer can only mow it to wide long on","Behrendorff to Shreyas Iyer, 1 run, slower ball on a length outside off, Shreyas Iyer gets forward and pulls to deep mid-wicket"
17.6,1,"Ellis to Shreyas Iyer,  1 runFuller and outside off, he drives it nice and hard but can't beat extra cover","Nathan Ellis to Shreyas Iyer, 1 run, seam-up and full outside off, Shreyas Iyer drives well but can't beat extra-cover, just the single"
17.5,1,"Ellis to Axar Patel,  1 runGood change of pace on that length ball outside off, he miscues to extra cover for a run","Nathan Ellis to Axar, 1 run, another slower ball, the back of the hand slower ball this time, fullish outside off, Axar drives in front of extra-cover for one"
17.4,4,"Ellis to Axar Patel, FOUR runs Banged in short and he flat-bats it soaring over extra cover. The field was in on the off side so these were easy pickings. He dances down and with mid-off and cover up sends it over the two.","Nathan Ellis to Axar, FOUR, good hit. Nearly six too. Axar comes down the track and takes the slower short ball, flat-bats it over extra-cover and it's one bounce over the ropes"
17.3,2,"Ellis to Axar Patel,  2 runsBack of a length ball outside off, he punches it to long on","Nathan Ellis to Axar, 2 runs, short of length just outside off, Axar heaves to long-on and David takes it easy, they spot that and come back for a second"
17.2,•,"Ellis to Axar Patel, no runLength on the stumps, defended back to the bowler","Nathan Ellis to Axar, no run, short of length and tucks up Axar who punches it back"
17.1,2,"Ellis to Axar Patel,  2 runsBack of a length ball just outside off, he whips it nicely in the gap between long on and deep midwicket. But McDermott sprints across from deep midwicket and keeps it down to two.","Nathan Ellis to Axar, 2 runs, back of a length on off, Axar short-arm jabs wide of deep mid-wicket and McDermott gets across and cuts it off with a dive, saves two"
16.6,•,"Dwarshuis to Shreyas Iyer, no runSlower full ball well outside off again. Iyer shoulders arms looking for another wide, but the ball was just inside the tramline. Iyer is livid with that call","Dwarshuis to Shreyas Iyer, no run, Dwarshuis shifts to round the wicket. It's a slower ball full outside off, just inside the tramline, left alone and the ump deems it a legal ball"
16.5,1,"Dwarshuis to Axar Patel,  1 runOn a length on middle and leg, he whisks it away to deep square leg","Dwarshuis to Axar, 1 run, full and shapes back in to off, Axar drives off a thick inside-edge to deep square leg"
16.4,1,"Dwarshuis to Shreyas Iyer,  1 runFull-length ball on pace this time outside off, driven to extra cover. The top hand comes off his bat handle as he plays the shot","Dwarshuis to Shreyas Iyer, 1 run, full on off, Shreyas Iyer gets forward to drive with the bottom-hand off, dribbles to extra-cover"
16.4,1,"Dwarshuis to Shreyas Iyer,  1 runFull-length ball on pace this time outside off, driven to extra cover. The top hand comes off his bat handle as he plays the shot","Dwarshuis to Shreyas Iyer, wide, the slower ball is well wide outside off and Shreyas Iyer lets it go to take a wide"
16.4,1w,"Dwarshuis to Shreyas Iyer, 1 wideLength ball angling away from Iyer who shoulders arms. Called a wide.","Dwarshuis to Shreyas Iyer, 1 run, full on off, Shreyas Iyer gets forward to drive with the bottom-hand off, dribbles to extra-cover"
16.4,1w,"Dwarshuis to Shreyas Iyer, 1 wideLength ball angling away from Iyer who shoulders arms. Called a wide.","Dwarshuis to Shreyas Iyer, wide, the slower ball is well wide outside off and Shreyas Iyer lets it go to take a wide"
16.3,1,"Dwarshuis to Axar Patel,  1 runPacy good length ball on his hips, he works it to deep fine leg","Dwarshuis to Axar, 1 run, back of a length and angling into middle and leg, helped down to fine-leg"
16.2,1,"Dwarshuis to Shreyas Iyer,  1 runSlower ball as Iyer goes for a big shot again. The ball does not carry to long on. Was fuller and outside off. Iyer was way too early on the shot","Dwarshuis to Shreyas Iyer, 1 run, slower ball full around off, Shreyas Iyer gets forward to loft and miscues it, well in front of long-on"
16.1,4,"Dwarshuis to Shreyas Iyer, FOUR runsBack of a length ball outside off, he stands tall and eases it past point. All timing and placement on that from Iyer","Dwarshuis to Shreyas Iyer, FOUR, top shot. A short of length delivery angling away from Shreyas Iyer and he punches it through backward point, timing was great and no chance for sweeper cover who was not far away"
15.6,•,"T Sangha to Axar Patel, no runWild swing and a miss. Was floated outside off, Axar tries to go up and over the off side. Loses his balance and his footing.","Sangha to Axar, no run, tossed up full outside off, Axar gets forward to loft and misses, loses his balance and falls flat on his backside"
15.5,2,"T Sangha to Axar Patel,  2 runsShort again, on middle stump, he stays back and whacks it to the left of deep midwicket","Sangha to Axar, 2 runs, another couple. This legbreak turns in to middle-stump, Axar goes on the back foot and pulls to the left of deep mid-wicket for two"
15.4,2,"T Sangha to Axar Patel,  2 runsShort on middle stump, he hacks it in the gap between midwicket and deep square leg.","Sangha to Axar, 2 runs, fraction short outside off, Axar pulls between deep square leg and deep mid-wicket and they come back for a couple"
15.3,1,"T Sangha to Shreyas Iyer,  1 runAgain he finds some turn. Was floated outside off, the ball drifts across him. He pushes it uppishly but there is no fielders inside the circle on the off side","Sangha to Shreyas Iyer, 1 run, slower legbreak outside off, Shreyas Iyer gets forward to drive and hits it in the air but well wide of extra-cover"
15.2,1,"T Sangha to Axar Patel,  1 runAgain a touch quicker and outside off, he punches to long off","Sangha to Axar, 1 run, flat good length outside off, Axar goes on the back foot to punch to long-off"
15.1,1,"T Sangha to Shreyas Iyer,  1 runQuicker on off stump, he pushes towards long on","Sangha to Shreyas Iyer, 1 run, very full on the stumps, Shreyas Iyer gets forward to push to long-on"
14.6,1,"Behrendorff to Shreyas Iyer,  1 runSlower length ball just outside off, dabbed towards point","Behrendorff to Shreyas Iyer, 1 run, slower good length on off, tapped to the right of Wade for an easy single"
14.5,1,"Behrendorff to Axar Patel,  1 runBanged in short just outside off, Axar pulls and does well to keep it down to deep midwicket","Behrendorff to Axar, 1 run, slower short ball outside off, Axar pulls to deep mid-wicket"
14.4,4,"Behrendorff to Axar Patel, FOUR runsLovely shot. Was on a length outside off, Axar goes back and across and slices it over backward point. Finds the placement to his credit too","Behrendorff to Axar, FOUR, good shot. Length delivery outside off, Axar uses the width and carves it up and over backward point, no chance for sweeper cover"
14.3,1,"Behrendorff to Shreyas Iyer,  1 runSlower back of a length ball well outside off. Iyer completely mistimes his hack just past the bowler.","Behrendorff to Shreyas Iyer, 1 run, slower ball off-cutter well wide outside off, Shreyas Iyer mistimes the cut and gets it past the outstretched left hand of Behrendorff, on the bounce though"
14.2,1,"Behrendorff to Axar Patel,  1 runGood length ball outside off, he cuts it past point for a run","Behrendorff to Axar, 1 run, good length outside off, Axar cuts to sweeper cover"
14.1,1,"Behrendorff to Shreyas Iyer,  1 runLength but on the pads to start off, he clips it to short fine leg and takes off for a run. Axar responds.","Behrendorff to Shreyas Iyer, 1 run, back of a length on the stumps, glanced to short fine-leg"
13.6,•,"Hardie to Axar Patel, no runKeeps it wicket to wicket, Axar pushes towards extra cover","Hardie to Axar, no run, good length and nips back in to off, Axar gets forward to push to cover"
13.5,•,"Hardie to Axar Patel, no runLength ball angling away from Axar, he opens the face of the bat to point","Hardie to Axar, no run, Hardie now round the wicket. Length delivery outside off, pushed to backward point"
13.4,1,"Hardie to Shreyas Iyer,  1 runKeeps it on a length on middle and leg, works it to deep midwicket","Hardie to Shreyas Iyer, 1 run, fullish on middle and leg, Shreyas Iyer flicks through mid-wicket for one"
13.3,1,"Hardie to Axar Patel,  1 runLength ball on the pads, clipped away to deep backward square leg for a run","Hardie to Axar, 1 run, back of a length on leg-stump again, nudged to deep backward square leg and Axar is off the mark"
13.2,•,"Hardie to Axar Patel, no runLength on middle and leg, ticked to the on side","Hardie to Axar, no run, back of a length on leg-stump, turned to mid-wicket"
13.1,W,"Hardie to Sharma, OUTNo timing at all and deep midwicket comes in to take a good catch. Hardie goes into the surface and aiming for Jitesh's body. He goes for a pull, but wasn't in position. Mistimes it altogether and Short completes the take low to his left.Jitesh Sharma c Short b Hardie 24 (16b 3x4 1x6 15m) SR: 150","Hardie to Jitesh Sharma, out Caught by Matthew Short!! Jitesh Sharma holes out and India slip into further trouble. A short of length delivery on off, Jitesh Sharma gets forward to pull and does not get hold of it, deep mid-wicket who is Short sinks low and catches it well. End of a little cameo. Jitesh Sharma c Matthew Short b Hardie 24(16) [4s-3 6s-1]"
12.6,1,"Ellis to Sharma,  1 runFuller on middle stump, he pushes to mid-off and hares down for a run. Would have been interesting with a direct hit, Behrendorff misses though","Nathan Ellis to Jitesh Sharma, 1 run, full on the stumps, Jitesh Sharma drives to the left of mid-off and hurries across for a quick single"
12.5,•,"Ellis to Sharma, no runOn a length on off stump, defended","Nathan Ellis to Jitesh Sharma, no run, back of a length on and around off-stump. punched away to cover"
12.4,4,"Ellis to Sharma, FOUR runsAnother edge, this time the outside one, but four is the result. No luck whatsoever for Ellis this over. Length ball outside off. Jitesh pushes at it and a slip would have gobbled it up","Nathan Ellis to Jitesh Sharma, FOUR, full and just outside off, Jitesh Sharma drives and the outside edge goes flying past the keeper to his right. It was bowled at 138ks and would have gone to first slip, not to be!"
12.3,1,"Ellis to Shreyas Iyer,  1 runFuller-length ball outside off, he drives to the right of extra cover","Nathan Ellis to Shreyas Iyer, 1 run, full and just outside off, Shreyas Iyer drives and gets it to the left of deep cover"
12.2,•,"Ellis to Shreyas Iyer, no runLength on and around off stump, he pushes back to the bowler","Nathan Ellis to Shreyas Iyer, no run, good length on and around off, Shreyas looks to force it straight and mistimes it back to the bowler"
12.1,4,"Ellis to Shreyas Iyer, FOUR runsInside-edge past the off pole, past the keeper, and goes for a four. Was a back of a length cross-seamer outside off stump. He goes for a pull and could easily have chopped it back on","Nathan Ellis to Shreyas Iyer, FOUR, length outside off at 132ks, Shreyas goes hard on the slog and gets a thick inside edge that races past Wade to his left"
