ball,score,commentary,second_commentary
17.5,6,"Hardie to Gaikwad,  SIX runsfull ball wider outside off. Gaikwad wears his Suryakumar mask, moves to the off side and plays a flick nonchalantly over fine leg! Into the nineties","Hardie to Gaikwad, SIX, excellent batting! Walks across in the crease and swipes this overpitched delivery over deep backward square leg. Into the 90s now!"
17.4,•,"Hardie to Gaikwad, no runno run this time","Hardie to Gaikwad, no run, looks to play across, but Hardie goes full and wide outside off"
17.3,4,"Hardie to Gaikwad, FOUR runsfull ball around off. Gaikwad is seeing 'em like watermelons and thumps a shot down the V to long-on for four more!","Hardie to Gaikwad, FOUR, add four more to it. Hardie is proving to be really expensive in his last over. Goes full again and Gaikwad lofts it over the bowler's head and the lightning quick outfield is enough to fetch him a boundary. Plenty of changes in the field following that as the bowler seems to be under tremendous pressure"
17.2,6,"Hardie to Gaikwad,  SIX runsshort ball outside off. Gaikwad pre-empts it, moves to the off side, gets in line for a pull, and sends the ball over the deep midwicket boundary!","Hardie to Gaikwad, SIX, short and punished! Gets hold of this loosener and thumps it over deep mid-wicket for the second maximum of the over"
17.2,6,"Hardie to Gaikwad,  SIX runsshort ball outside off. Gaikwad pre-empts it, moves to the off side, gets in line for a pull, and sends the ball over the deep midwicket boundary!","Hardie to Gaikwad, wide, Hardie goes wide outside off and it's missed the tramline. Wade wants a review for a wide, but it's not available in this format"
17.2,1w,"Hardie to Gaikwad, 1 widefull ball, wide outside the tram-lines. Misses","Hardie to Gaikwad, SIX, short and punished! Gets hold of this loosener and thumps it over deep mid-wicket for the second maximum of the over"
17.2,1w,"Hardie to Gaikwad, 1 widefull ball, wide outside the tram-lines. Misses","Hardie to Gaikwad, wide, Hardie goes wide outside off and it's missed the tramline. Wade wants a review for a wide, but it's not available in this format"
17.1,6,"Hardie to Gaikwad,  SIX runsgoing, going, gone! Slot ball just outside off, and Gaikwad deposits it over the bowler's head!","Hardie to Gaikwad, SIX, spanked! Hardie goes full and straight outside off, Gaikwad stands tall and lofts it over long-off for a clean six. No need to run for those"
16.6,1,"Behrendorff to Gaikwad,  1 runan epic spell from Behrendorff - 1-12 in four overs with 17 dots. Ends the spell with a yorker on leg that's dug away","Behrendorff to Gaikwad, 1 run, end of a fantastic spell by Behrendorff. Can well prove to be a match defining one. Right into the blockhole and Gaikwad can only manage to dig it towards deep mid-on. A single to end Behrendorff's spell: 4-1-12-1"
16.5,1,"Behrendorff to Tilak Varma,  1 runfull ball on middle. Slower one again. Tilak loads up for a big shot but mistimes to short fine","Behrendorff to Tilak Varma, 1 run, 111 kph, Tilak Varma swings across the line, gets an inside edge on to the pads. The ball rolls towards the leg-side for a single"
16.4,1,"Behrendorff to Gaikwad,  1 runlength ball on leg. Gaikwad wanted to go over cover after spotting no fielder on the boundary line in that region. But can only bunt it to cover","Behrendorff to Gaikwad, 1 run, back to a quicker delivery, Gaikwad gets a leading edge towards mid-off as he tries to play this across the line"
16.3,1,"Behrendorff to Tilak Varma,  1 runpace off again.  Full just outside off. Mistimed drive past the bowler for a single","Behrendorff to Tilak Varma, 1 run, another slower one around off, Tilak Varma eases it towards mid-off for one"
16.2,1,"Behrendorff to Gaikwad,  1 rungood length ball pulled to cow corner","Behrendorff to Gaikwad, 1 run, Behrendorff goes short and slow, Gaikwad pulls this through the on-side for a single"
16.1,2,"Behrendorff to Gaikwad,  2 runslength ball at only 116kph. Pulled to the leg side for a couple more","Behrendorff to Gaikwad, 2 runs, 150 up for India! A length delivery by Behrendorff and Gaikwad heaves it through the leg-side for a couple of runs"
15.6,1,"Ellis to Gaikwad,  1 runshort ball outside off. Dragged to wide long on. Just five off the over","Nathan Ellis to Gaikwad, 1 run, short of a length around middle and leg, Gaikwad drags it towards deep mid-wicket for a single"
15.5,1,"Ellis to Tilak Varma,  1 runshort ball on leg. Mistimed pull high in the air but lands short of deep fine leg","Nathan Ellis to Tilak Varma, 1 run, short and quick on middle and leg, Tilak Varma goes for the pull, miscues it towards deep square leg for one"
15.4,•,"Ellis to Tilak Varma, no runwell disguised slower ball. Short and Tilak was through the pull way too early","Nathan Ellis to Tilak Varma, no run, slower short ball outside off, Tilak Varma swings and misses"
15.3,1,"Ellis to Gaikwad,  1 runfull ball just outside off. Muscled to long on","Nathan Ellis to Gaikwad, 1 run, full and straight at the stumps, Gaikwad heaves this towards wide long-on for one"
15.2,1,"Ellis to Tilak Varma,  1 runslower ball again. Length on off. Fended with soft hands after a late adjustment from Tilak","Nathan Ellis to Tilak Varma, 1 run, slower short ball outside off, Tilak Varma chops it towards gully for a single"
15.1,1,"Ellis to Gaikwad,  1 runlength ball on middle. Tucked to midwicket. Slower one to start off, only 107kph","Nathan Ellis to Gaikwad, 1 run, slower delivery on middle and leg, Gaikwad works this through mid-wicket for one"
14.6,•,"T Sangha to Tilak Varma, no runoverpitched outside off. Pokes at it. Misses. Sangha 0-42 tonight","Sangha to Tilak Varma, no run, fired outside off, Tilak Varma has a poke at it and almost nicks it behind"
14.5,•,"T Sangha to Tilak Varma, no runlength ball on middle and off. Fended back","Sangha to Tilak Varma, no run, spins in sharply, Tilak Varma stays rooted in the crease and knocks this back to Sangha"
14.4,1,"T Sangha to Gaikwad,  1 rundriven for a single to the off side","Sangha to Gaikwad, 1 run, tad short outside off, Gaikwad carves this through the off-side for one"
14.3,6,"T Sangha to Gaikwad,  SIX runsOMG! Full ball outside off. Gaikwad takes a big stride in and lofts an inside out six over cover! Terrific","Sangha to Gaikwad, SIX, goes inside out and lofts this nonchalantly over deep extra cover for half-a-dozen. This is Gaikwad's hightest score in T20Is"
14.2,4,"T Sangha to Gaikwad, FOUR runsfull ball around leg and swept hard behind square! No stopping that","Sangha to Gaikwad, FOUR, swept away! Floated on middle and leg, Gaikwad goes down on his knee and sweeps it past short fine leg for four more"
14.1,•,"T Sangha to Gaikwad, no runlength ball just outside off. Cut behind to short third","Sangha to Gaikwad, no run, tad short outside off, Gaikwad cuts it towards the fielder at point"
13.6,4,"Hardie to Tilak Varma, FOUR runsHashtag Like a Tracer Bullet. Clubbed to deep backward square leg for a boundary. Length ball angling into his hips, and Tilak swiveled early to get in position","Hardie to Tilak Varma, FOUR, 50-run stand up! Tilak Varma was backing away to play this, but Hardie follows him down the leg-side. Tilak Varma adjusts well and drags it past the man at short fine and that shall be 19 runs from the over"
13.6,4,"Hardie to Tilak Varma, FOUR runsHashtag Like a Tracer Bullet. Clubbed to deep backward square leg for a boundary. Length ball angling into his hips, and Tilak swiveled early to get in position","Hardie to Tilak Varma, wide, banged in short by Hardie, Tilak Varma goes for the hook, but misses. Called an overhead wide this time around"
13.6,1w,"Hardie to Tilak Varma, 1 wideshort ball around leg. Attempts the hook, misses, but that's OK. Wide given for height","Hardie to Tilak Varma, FOUR, 50-run stand up! Tilak Varma was backing away to play this, but Hardie follows him down the leg-side. Tilak Varma adjusts well and drags it past the man at short fine and that shall be 19 runs from the over"
13.6,1w,"Hardie to Tilak Varma, 1 wideshort ball around leg. Attempts the hook, misses, but that's OK. Wide given for height","Hardie to Tilak Varma, wide, banged in short by Hardie, Tilak Varma goes for the hook, but misses. Called an overhead wide this time around"
13.5,1,"Hardie to Gaikwad,  1 runfull ball wider outside off. Driven to deep backward point","Hardie to Gaikwad, 1 run, opens the bat face and steers this short of a length delivery to third man for one"
13.4,4,"Hardie to Gaikwad, FOUR runsbit of a nothing ball and Gaikwad punishes this with a pull. Slower ball, short and wide, and Gaikwad drags a pull to cow corner. His fourth T20I fifty! And back-to-back ofcourse.","Hardie to Gaikwad, FOUR, fifty for Gaikwad! Hardie goes short and the opener nails his pull through mid-wicket to bring up the milestone. Raises his bat to acknowledge the crowd. Another solid knock by him"
13.4,4,"Hardie to Gaikwad, FOUR runsbit of a nothing ball and Gaikwad punishes this with a pull. Slower ball, short and wide, and Gaikwad drags a pull to cow corner. His fourth T20I fifty! And back-to-back ofcourse.","Hardie to Gaikwad, wide, back-to-back wides, another one well outside off"
13.4,4,"Hardie to Gaikwad, FOUR runsbit of a nothing ball and Gaikwad punishes this with a pull. Slower ball, short and wide, and Gaikwad drags a pull to cow corner. His fourth T20I fifty! And back-to-back ofcourse.","Hardie to Gaikwad, wide, goes for the wide yorker but misses the tramline"
13.4,1w,"Hardie to Gaikwad, 1 widefull and wide outside off stump. Left alone again to take the wide","Hardie to Gaikwad, FOUR, fifty for Gaikwad! Hardie goes short and the opener nails his pull through mid-wicket to bring up the milestone. Raises his bat to acknowledge the crowd. Another solid knock by him"
13.4,1w,"Hardie to Gaikwad, 1 widefull and wide outside off stump. Left alone again to take the wide","Hardie to Gaikwad, wide, back-to-back wides, another one well outside off"
13.4,1w,"Hardie to Gaikwad, 1 widefull and wide outside off stump. Left alone again to take the wide","Hardie to Gaikwad, wide, goes for the wide yorker but misses the tramline"
13.4,1w,"Hardie to Gaikwad, 1 widefull and wide. Beyond the tram-lines. No shot offered","Hardie to Gaikwad, FOUR, fifty for Gaikwad! Hardie goes short and the opener nails his pull through mid-wicket to bring up the milestone. Raises his bat to acknowledge the crowd. Another solid knock by him"
13.4,1w,"Hardie to Gaikwad, 1 widefull and wide. Beyond the tram-lines. No shot offered","Hardie to Gaikwad, wide, back-to-back wides, another one well outside off"
13.4,1w,"Hardie to Gaikwad, 1 widefull and wide. Beyond the tram-lines. No shot offered","Hardie to Gaikwad, wide, goes for the wide yorker but misses the tramline"
13.3,4,"Hardie to Gaikwad, FOUR runsfull and wide ball. Driven away from his body and slapped past the running deep point fielder! He's accelerated and how!","Hardie to Gaikwad, FOUR, width on offer, Gaikwad pounces on it and crunches it through cover-point for a rollicking boundary"
