ball,score,commentary,second_commentary
19.6,1nb,"Abbott to Rinku Singh, (no ball)six over long-on! We've seen this sight before: Rinku finishing a T20 off with a six. But, and for whatever that's worth, it was a no-ball, so the six won't count; only the run off the no-ball will. Abbott bowled right in the slot around middle stump, inviting Rinku to loft down the ground. He went ahead, and ended up depositing the ball way beyond the boundarySee all photos","Abbott to Rinku Singh, no ball, Rinku Singh does the job! Don't need to bother running when you can hit them that far, in fact it doesn't matter because Abbott oversteps! So the six won't be added to the scorebooks but an India win will certainly be. Was a half-volley on middle that Rinku Singh launched into the stands at long-on"
19.5,1W,"Abbott to Rinku Singh, 1 run, OUTanother run-out chance! And by Abbott and Arshdeep's reactions, the latter could be short. But the third umpire will confirm. Wow, he is well short! India lose three wickets in three balls. It was a short delivery around middle and leg, as Rinku had a swing with a pull shot. The ball went wide of long-on, whose throw to Abbott was a little wide of the stumps. But Abbott took it and banged the stumps to find Arshdeep shortArshdeep Singh run out (Smith/Abbott) 0 (0b 0x4 0x6 2m) SR: 0","Abbott to Rinku Singh, out Arshdeep Singh Run Out!! 1 run completed. And another run-out! Three wickets in three balls! Was a slower length delivery on off-stump, Rinku Singh hung back and heaved it away towards deep mid-wicket, he wanted two but Arshdeep Singh was found just short of his ground at the bowler's end. The throw was good and flat and the bowler did the rest. Arshdeep Singh run out (Smith/Abbott) 0(0)"
19.4,W,"Abbott to Ravi Bishnoi, OUTBishnoi is run-out at the bowler's end! But importantly for India, Rinku will be on strike next ball. Abbott bowled it short outside off, getting it to climb sharply. Bishnoi looked to pull but missed, and the batters ran almost blindly. Wade had a go at the stumps at his end but missed; but Abbott collected the throw, and hit the stumps at the other end to find Bishnoi shortRavi Bishnoi run out (†Wade/Abbott) 0 (1b 0x4 0x6 1m) SR: 0See all photos","Abbott to Ravi Bishnoi, out Ravi Bishnoi Run Out!! Bishnoi is run-out but importantly for India, Rinku gets himself back on strike. Was banged in short at pace, Ravi Bishnoi looked to hook and missed. Rinku was running through for the bye just as the bowler delivered, Wade missed at the striker's end but the bowler gathered and ran Bishnoi out at the other. Would've spelled a lot of trouble for India had Wade hit the stumps at the striker's end. Ravi Bishnoi run out (Wade/Abbott) 0(1)"
19.3,W,"Abbott to Axar Patel, OUTAbbott takes a good catch to keep India waiting! He ended quite a few steps behind from where he delivered the ball, with the ball dropping over his shoulder. Axar looked to pull this shortish ball around middle and off, but got a top edge. The ball popped up, and with the mid-on fielder almost rushing in, Abbott did wellAxar Patel c & b Abbott 2 (6b 0x4 0x6 11m) SR: 33.33","Abbott to Axar, out Caught&Bowled!! Axar swings himself off his feet and he's out! Slower length delivery on middle, Axar threw everything at this and didn't connect at all, he went for the glory shot but got a top-edge, it lobbed up and the bowler ran a couple of paces back before taking a simple catch over his shoulder. Now a new man will be on strike. Axar c and b Abbott 2(6)"
19.2,1b,"Abbott to Rinku Singh, 1 byebeaten by the ball, but they get a bye as Wade fumbles. Short of a length outside off, as Rinku looked to swat but missed. The ball trickled to short third's right off Wade's bodySee all photos","Abbott to Rinku Singh, byes, 1 run, slower length delivery just outside off, Rinku Singh waited for it looking to cut and missed, Wade got an odd bounce and fumbled allowing a bye"
19.1,4,"Abbott to Rinku Singh, FOUR runsflashed over point! Short and angling across to end pretty wide of off, as Rinku went chasing it far away from his body. The ball did go off the top half of the bat, but was wide enough of the point fielder leaping to his left","Abbott to Rinku Singh, FOUR, that makes it a lot easier! Length delivery wide outside off, Rinku Singh shuffled across and reached out, just managed to slice it away past backward point off the outer half, celebrations in the stands already"
18.6,1,"Ellis to Rinku Singh,  1 runrides the bounce of this short ball on middle, and pulls to deep backward square","Nathan Ellis to Rinku Singh, 1 run, banged in short on middle, Rinku Singh got on top the bounce and pulled it down to deep square leg"
18.5,4,"Ellis to Rinku Singh, FOUR runspumped down the ground! Just to the left of the man at mid-off. On the fuller side of a length, and angling across to finish around sixth stump. Rinku rammed that back between mid-off and Axar","Nathan Ellis to Rinku Singh, FOUR, superb shot, especially under pressure. Wasn't a great delivery though, was a half-volley at pace on off-stump, Rinku Singh drilled it to the left of mid-off with a clean hit"
18.4,1,"Ellis to Axar Patel,  1 runguides this short delivery around off stump just wide of short third, letting the ball come on to him","Nathan Ellis to Axar, 1 run, slower short ball on off-stump, Axar waits for it and just eases it towards short third man for a quick single"
18.3,•,"Ellis to Axar Patel, no runshort of a length just around off, and punched to extra cover. Another dot ball","Nathan Ellis to Axar, no run, length delivery on off-stump, Axar punches it straight to the fielder at extra cover, just a bit of pressure on Axar now"
