ball,score,commentary,second_commentary
18.4,W,"Dwarshuis to Sharma, OUTattempted yorker, which comes out as a full-toss outside off. Holes out to Head at long-off. Jitesh winds up once again, but Head holds onto the ball at the edge of the boundary. Jitesh finishes with 35 off 19 balls at a strike rate of 184.21Jitesh Sharma c Head b Dwarshuis 35 (19b 1x4 3x6 23m) SR: 184.21See all photos","Dwarshuis to Jitesh Sharma, out Caught by Head!! That's a good take by Head. But Jitesh would be disappointed as this was not a wicket-taking delivery - high full toss outside off, Jitesh goes for the big swing down the ground and the bat turns on impact, he miscues it towards long-off and Head takes a well-judged catch just in front of the rope. A handy knock from Jitesh comes to an end. He gave India the much needed impetus after Gaikwad's departure. Jitesh Sharma c Head b Dwarshuis 35(19) [4s-1 6s-3]"
18.3,2,"Dwarshuis to Sharma,  2 runson-pace wide yorker, jammed out to deep cover","Dwarshuis to Jitesh Sharma, 2 runs, very full and outside off, Jitesh shuffles and scoops it over extra over, couple more"
18.2,4,"Dwarshuis to Sharma, FOUR runscrashed through extra-cover. Another attempted slower ball, on a length and outside off, Jitesh sizes it up and carts it away to the off-side fence","Dwarshuis to Jitesh Sharma, FOUR, slower ball outside off, Jitesh stays deep in the crease and bashes it past extra cover. He delayed his bat swing a touch and hence could generate the power"
18.1,•,"Dwarshuis to Sharma, no runslower yorker from left-arm over, Jitesh can't dig it out as the bowler hides it away from his reach","Dwarshuis to Jitesh Sharma, no run, nails the wide yorker outside off, Jitesh fails to dig it out and it is a dot to start"
17.6,1,"Behrendorff to Sharma,  1 runon-pace full ball outside off, just short of a yorker length, Jitesh drills it down to long-off","Behrendorff to Jitesh Sharma, 1 run, too full and around off, Jitesh drives down to long-off and brings up the 50-run stand. Important partnership for India"
17.5,2,"Behrendorff to Sharma,  2 runsslowie outside off, Jitesh swings for the hills and drags the ball away between deep midwicket and wide long-on","Behrendorff to Jitesh Sharma, 2 runs, winds for the big heave to the leg-side but ends up dragging it off the inner half wide of long-on, just a brace"
17.4,1,"Behrendorff to Rinku Singh,  1 runyorker, tails in at the base of leg stump, jammed down to long-on","Behrendorff to Rinku Singh, 1 run, very full delivery and right in the blockhole, Rinku digs it out to long-on"
17.3,2,"Behrendorff to Rinku Singh,  2 runschest-high short ball, another slower variation from Behrendorff. Rinku delays his pull and places it to the right of short fine","Behrendorff to Rinku Singh, 2 runs, short and bowled into the wicket, Rinku plays a controlled pull backward of square and races back for the second"
17.2,4,"Behrendorff to Rinku Singh, FOUR runsmuch fuller and veering down the leg side, with fine leg up in the circle. Rinku glances it away to the right of that infielder","Behrendorff to Rinku Singh, FOUR, just wide of Sangha. Slower ball but drifts down leg, Rinku helps it along the way past a diving short fine"
17.1,4,"Behrendorff to Rinku Singh, FOUR runsskewed in the air. Slower ball from Benrendorff. Knuckle ball? Rinku somehow gets it away from the reach of both the keeper and short third","Behrendorff to Rinku Singh, FOUR, streaky! Not where Rinku intended but he gets the boundary. He wanted to lap it round the corner into the leg-side but ends up getting a top-edge, the ball flies over Wade and races away.."
16.6,6,"Hardie to Sharma,  SIX runslovely work. He gets inside the line of the bouncer angled into middle and off and because of that he is able to launch the ball over fine leg. Superb shot","Hardie to Jitesh Sharma, SIX, turns into a good over for India. Hardie misses his radar with the short of length delivery, around leg-stump and Jitesh gets inside the line, pulls it Calypso style over fine leg"
16.5,1,"Hardie to Rinku Singh,  1 runcramps him going on pace on middle and leg, Rinku turns it to long-on","Hardie to Rinku Singh, 1 run, good length ball on off, Rinku bunts it to mid-wicket and settles with a single"
16.4,4,"Hardie to Rinku Singh, FOUR runsslower short ball and Rinku spots it, holds his shape and pulls it powerfully in front of square leg for a boundary","Hardie to Rinku Singh, FOUR, another slower ball but dug into the surface, Rinku waits and nails the pull in front of square, well wide of deep mid-wicket"
16.3,•,"Hardie to Rinku Singh, no runslower ball this time, outside off stump, well away from Rinku's reach. This has been a very good over so far from Hardie","Hardie to Rinku Singh, no run, slower ball outside off, Rinku goes chasing and is deceived by the lack of pace"
16.2,1,"Hardie to Sharma,  1 runmis-hit to mid-off. Jitesh charges at the fast bowler, who goes high-pace and into the wicket. He gets good bounce, cramps him too, and that makes sure the batter can't get any timing","Hardie to Jitesh Sharma, 1 run, shimmies down and is met by that hard length, Jitesh still goes through with the cross-batted shot and gets it high on the bat, lobs in front of mid-off and lands safely"
16.1,1,"Hardie to Rinku Singh,  1 runswivels on the back foot and pulls the short ball angled into him from around the wicket to deep square leg","Hardie to Rinku Singh, 1 run, short and angled in from round the wicket, Rinku pulls to long leg"
15.6,•,"T Sangha to Sharma, no runlooks for the reverse sweep, but Sangha does well to hide the ball outside off stump and away from the reach of Jitesh's bat swing.","Sangha to Jitesh Sharma, no run, slower and Jitesh premeditates the reverse sweep, he's through the shot and the ball arrives later. Excellent spell from Sangha comes to an end and he finishes with figures of 4-0-30-2"
15.5,2,"T Sangha to Sharma,  2 runscrashes it through the covers, capitalising on the room to free the arms","Sangha to Jitesh Sharma, 2 runs, short and spinning away, Jitesh cuts in front of square on the off-side and picks up a brace"
15.4,1,"T Sangha to Rinku Singh,  1 runbacks away and cuts a shortish ball outside off through point","Sangha to Rinku Singh, 1 run, drifting away from the southpaw, Rinku cuts square of the wicket and the sweeper tidies up"
15.3,•,"T Sangha to Rinku Singh, no rungoes back to punch a flatter delivery on middle down to the bowler","Sangha to Rinku Singh, no run, shortens the length and keeps it tight, Rinku knocks it back to Sangha"
15.2,•,"T Sangha to Rinku Singh, no runhangs back against the flatter delivery, which seems to go on with the arm away from the left-hander. Rinku cuts to point","Sangha to Rinku Singh, no run, short and turning away, Rinku cuts and picks out backward point"
15.1,1,"T Sangha to Sharma,  1 runtossed up on off stump, defends off the front foot into the covers","Sangha to Jitesh Sharma, 1 run, tossed up and Jitesh angles it towards point, picks up a quick single"
15.1,1,"T Sangha to Sharma,  1 runtossed up on off stump, defends off the front foot into the covers","Sangha to Jitesh Sharma, wide, wayward delivery well outside off, Jitesh lets it go and collects the wide"
15.1,1w,"T Sangha to Sharma, 1 widevery wide outside off, no need to chase those","Sangha to Jitesh Sharma, 1 run, tossed up and Jitesh angles it towards point, picks up a quick single"
15.1,1w,"T Sangha to Sharma, 1 widevery wide outside off, no need to chase those","Sangha to Jitesh Sharma, wide, wayward delivery well outside off, Jitesh lets it go and collects the wide"
14.6,1,"Green to Sharma,  1 runon a length and slid across off, 104ks, stabbed down to long-off","Chris Green to Jitesh Sharma, 1 run, drifted across the right hander, Jitesh drives to long-off and retains strike"
14.5,•,"Green to Sharma, no runGreen drags his length back outside off, better length. Jitesh swings so hard that he loses his balance and misses","Chris Green to Jitesh Sharma, no run, drags the length back and slows it up a tad, Jitesh is through the shot early and is beaten on the outside edge"
14.4,6,"Green to Sharma,  SIX runsJitesh clears long-off with ease. Pushed through full and outside off, can't be this full. Jitesh gets underneath the length and smites it over the outfielder","Chris Green to Jitesh Sharma, SIX, second six in the over. Fired full and outside off, Jitesh had the space to free his arms and there's no half measures from him, he goes full throttle on the lofted drive and sends it sailing over extra cover"
14.3,•,"Green to Sharma, no runfull-toss outside off, belted back to Green, the ball bursts through the hands of the bowler. It does not stick, leaving the umpire in the firing line as well","Chris Green to Jitesh Sharma, no run, was that a drop? High full toss and Jitesh does not quite get hold of the shot, smacks it straight back at Green and the ball passed him before he could react, strikes umpire Anantha Padmanabhan and goes to ground. The umpire apologises to Jitesh for costing him some runs"
14.2,6,"Green to Sharma,  SIX runsslog-swept over the midwicket boundary! Pushed through too full on middle and leg, Jitesh sinks to one knee and monsters Green over the leg side. Bam","Chris Green to Jitesh Sharma, SIX, Jitesh doesn't take long to get going. But this ball was right in the arc, he shuffles across and bends down to get under it, launches it high and well over deep square leg. Even Rinku is impressed.."
14.1,1,"Green to Rinku Singh,  1 runon a length and on off stump, tapped to mid-off","Chris Green to Rinku Singh, 1 run, flatter and not much flight, Rinku knocks it wide of cover and quickly crosses over"
13.6,•,"T Sangha to Sharma, no runjabbed away to short cover on the back foot","Sangha to Jitesh Sharma, no run, quicker delivery around off, Jitesh eases it to cover"
13.5,2,"T Sangha to Sharma,  2 runschipped in the air but away from the reach of midwicket","Sangha to Jitesh Sharma, 2 runs, in the air and wide of mid-wicket. Drifting into the pads, Jitesh whips it aerially and just manages to evade the fielder. Head dived to his right but the ball was well away from him"
13.4,1,"T Sangha to Rinku Singh,  1 runclipped away through midwicket on the back foot","Sangha to Rinku Singh, 1 run, slower but shortens the length, Rinku nudges it through mid-wicket"
13.3,1,"T Sangha to Sharma,  1 rungoogly, finishes on leg stump, but the length is short, allowing Jitesh to punch off the back foot to long-on","Sangha to Jitesh Sharma, 1 run, flatter and quicker, Jitesh knocks it to long-on"
13.2,W,"T Sangha to Gaikwad, OUTCaught by Dwarshuis at short third this time. Nicely tossed up on off and breaks away. Gaikwad, having manufactured swinging room, throws his bat at ball and aims to go over extra-cover. But can only slice it off the outside half to short thirdRuturaj Gaikwad c Dwarshuis b Sangha 32 (28b 3x4 1x6 58m) SR: 114.28","Sangha to Gaikwad, out Caught by Dwarshuis!! The partnership has been broken. A well-set Gaikwad departs and Sangha has picked up his second wicket. Flighted delivery on off, Gaikwad backs away to play the inside out loft but the ball just grips a little, takes the outer half of the bat and balloons towards short third, simple catch for Dwarshuis. Gaikwad c Dwarshuis b Sangha 32(28) [4s-3 6s-1]"
13.1,4,"T Sangha to Gaikwad, FOUR runsflat and fast, breaks away outside off, Gaikwad latches onto it and chops it away between point and short third","Sangha to Gaikwad, FOUR, shot! This is a fraction short and Gaikwad is quick to pounce, he goes back and cuts it behind square on the off-side, splitting backward point and short third perfectly"
12.6,6,"Dwarshuis to Rinku Singh,  SIX runsdown the track and smoked over wide long-on. This is another serious strike from Rinku. He charges at Dwarshuis, manufactures his own length - a half-volley - and powers the ball over the leg sideSee all photos","Dwarshuis to Rinku Singh, SIX, massive, biggest six of the night - charges down the pitch, takes the momentum into the shovel and sends it soaring into the stands - into the second tier of this massive stadium, that's some hit"
12.5,1,"Dwarshuis to Gaikwad,  1 runback of a length and angling across off, Gaikwad deliberately opens the bat-face and guides the ball to deep point","Dwarshuis to Gaikwad, 1 run, on a good length and angling across the right-hander, steered square past point for a single"
12.4,1,"Dwarshuis to Rinku Singh,  1 runRinku rides the bounce of this shortish ball outside off and dinks a single to deep third","Dwarshuis to Rinku Singh, 1 run, back of a length and just outside off, Rinku runs it down towards third man for a single"
12.3,1,"Dwarshuis to Gaikwad,  1 runshorter and on top of the stumps, worked away into the leg side","Dwarshuis to Gaikwad, 1 run, Dwarshuis drags the length back on off, tucked wide of mid-wicket for a single"
12.2,4,"Dwarshuis to Gaikwad, FOUR runson a length and on middle, Gaikwad sizes it up and pumps it over mid-on with a high elbow. He holds his shape and hits over the topSee all photos","Dwarshuis to Gaikwad, FOUR, lovely, length ball on middle - Ruturaj gets forward, presents the full face of the bat, high elbow and a straight bat, launches it back over the bowler's head, held his pose as he watched the ball bounce away to the ropes"
12.1,1,"Dwarshuis to Rinku Singh,  1 runbunted down to mid-on","Dwarshuis to Rinku Singh, 1 run, on a good length and just outside off, pushed in front of mid-on for a quick single"
